epoch,loss,num_batches,batch_size
1,-9.652178764343262,32,32
2,-9.566306114196777,32,32
3,-9.583569526672363,32,32
4,-9.651850700378418,32,32
5,-9.61737060546875,32,32
6,-9.653465270996094,32,32
7,-9.719779014587402,32,32
8,-9.582600593566895,32,32
9,-9.708317756652832,32,32
10,-9.666600227355957,32,32
11,-9.66080093383789,32,32
12,-9.703673362731934,32,32
13,-9.597859382629395,32,32
14,-9.630593299865723,32,32
15,-9.610045433044434,32,32
16,-9.666126251220703,32,32
17,-9.632317543029785,32,32
18,-9.600260734558105,32,32
19,-9.589639663696289,32,32
20,-9.700920104980469,32,32
21,-9.62762451171875,32,32
22,-9.63940143585205,32,32
23,-9.670827865600586,32,32
24,-9.640750885009766,32,32
25,-9.657005310058594,32,32
26,-9.619144439697266,32,32
27,-9.680657386779785,32,32
28,-9.594426155090332,32,32
29,-9.626184463500977,32,32
30,-9.542603492736816,32,32
31,-9.649922370910645,32,32
32,-9.645054817199707,32,32
33,-9.66221809387207,32,32
34,-9.59373950958252,32,32
35,-9.660365104675293,32,32
36,-9.695487976074219,32,32
37,-9.643277168273926,32,32
38,-9.628382682800293,32,32
39,-9.687445640563965,32,32
40,-9.559035301208496,32,32
41,-9.668299674987793,32,32
42,-9.56861400604248,32,32
43,-9.631782531738281,32,32
44,-9.616040229797363,32,32
45,-9.676468849182129,32,32
46,-9.680849075317383,32,32
47,-9.689682006835938,32,32
48,-9.638409614562988,32,32
49,-9.695822715759277,32,32
50,-9.542060852050781,32,32
51,-9.675416946411133,32,32
52,-9.56432819366455,32,32
53,-9.609428405761719,32,32
54,-9.604440689086914,32,32
55,-9.645123481750488,32,32
56,-9.610939025878906,32,32
57,-9.625779151916504,32,32
58,-9.654972076416016,32,32
59,-9.682625770568848,32,32
60,-9.69775676727295,32,32
61,-9.607162475585938,32,32
62,-9.63447380065918,32,32
63,-9.676837921142578,32,32
64,-9.665796279907227,32,32
65,-9.633861541748047,32,32
66,-9.658951759338379,32,32
67,-9.559926986694336,32,32
68,-9.67138385772705,32,32
69,-9.678254127502441,32,32
70,-9.688902854919434,32,32
71,-9.666261672973633,32,32
72,-9.683512687683105,32,32
73,-9.617426872253418,32,32
74,-9.598471641540527,32,32
75,-9.583195686340332,32,32
76,-9.615702629089355,32,32
77,-9.678101539611816,32,32
78,-9.682815551757812,32,32
79,-9.630175590515137,32,32
80,-9.625311851501465,32,32
81,-9.713467597961426,32,32
82,-9.656468391418457,32,32
83,-9.633506774902344,32,32
84,-9.588621139526367,32,32
85,-9.679637908935547,32,32
86,-9.633732795715332,32,32
87,-9.68504524230957,32,32
88,-9.661825180053711,32,32
89,-9.613465309143066,32,32
90,-9.662474632263184,32,32
91,-9.566938400268555,32,32
92,-9.658658981323242,32,32
93,-9.679858207702637,32,32
94,-9.687694549560547,32,32
95,-9.662827491760254,32,32
96,-9.628236770629883,32,32
97,-9.650752067565918,32,32
98,-9.598526000976562,32,32
99,-9.616903305053711,32,32
100,-9.673644065856934,32,32
