step,mean,ess,count,resample_fraction
1,0.73017555,374.15268,1000,0.065
2,1.4030281,254.06677,1000,0.432
3,2.1067395,242.89029,1000,0.577
4,2.8366065,262.48535,1000,0.429
5,3.5238748,250.25899,1000,0.499
6,4.1997437,245.22375,1000,0.513
7,4.890922,244.95906,1000,0.51
8,5.615374,249.80182,1000,0.488
9,6.295326,248.27318,1000,0.505
10,6.9911366,251.4197,1000,0.498
11,7.6850286,250.89925,1000,0.495
12,8.3984995,247.09245,1000,0.511
13,9.09149,250.9702,1000,0.487
14,9.7651615,247.86197,1000,0.512
15,10.468789,249.21233,1000,0.49
16,11.168571,242.9739,1000,0.514
17,11.870983,245.52551,1000,0.508
18,12.568181,248.63608,1000,0.508
19,13.236707,245.32729,1000,0.526
20,13.952361,250.85269,1000,0.493
21,14.679004,240.29575,1000,0.541
22,15.418203,254.15646,1000,0.481
23,16.131155,248.3797,1000,0.492
24,16.823524,248.74107,1000,0.501
25,17.527052,247.04228,1000,0.511
26,18.213167,249.90877,1000,0.498
27,18.916134,246.26219,1000,0.502
28,19.64623,248.2693,1000,0.516
29,20.385498,255.41402,1000,0.473
30,21.09403,249.30441,1000,0.498
31,21.808529,246.3402,1000,0.507
32,22.508224,251.17778,1000,0.482
33,23.20007,246.65628,1000,0.51
34,23.900501,244.70981,1000,0.517
35,24.607746,252.82307,1000,0.481
36,25.288145,244.16954,1000,0.521
37,25.953865,243.73918,1000,0.495
38,26.661057,247.21008,1000,0.505
39,27.353224,249.68481,1000,0.505
40,28.058886,247.51572,1000,0.517
41,28.762575,246.68347,1000,0.506
42,29.453648,245.04817,1000,0.508
43,30.159395,249.85187,1000,0.501
44,30.87882,248.40286,1000,0.498
45,31.587688,246.97511,1000,0.5
46,32.31083,248.72879,1000,0.5
47,33.025394,246.94089,1000,0.499
48,33.70679,248.53427,1000,0.531
49,34.42153,248.13347,1000,0.472
50,35.11458,240.98853,1000,0.538
