step,mean,std,stderr,count,ess
1,2.3505003,3.5502138,0.11226761832143174,1000,1.0
2,5.8106666,5.913423,0.18699885642097544,1000,1.0
3,8.041731,7.511657,0.23753945874590357,1000,1.0
4,10.18669,7.8827996,0.24927601154975745,1000,1.0
5,12.383116,8.322657,0.2631855113894893,1000,1.0
6,14.606879,8.654625,0.2736832710162465,1000,1.0
7,16.736345,8.981596,0.28402300361454524,1000,1.0
8,18.952057,9.067079,0.2867262006939099,1000,1.0
9,21.238297,9.291578,0.29382550463174506,1000,1.0
10,23.469957,9.606938,0.3037980656515168,1000,1.0
11,25.643166,9.906588,0.3132738065822,1000,1.0
12,27.890228,10.0616255,0.31817653482446295,1000,1.0
13,30.253918,10.906573,0.3448961308164359,1000,1.0
14,32.46198,11.223442,0.35491640152304377,1000,1.0
15,34.969463,11.771159,0.3722367368408546,1000,1.0
16,37.268787,11.887876,0.37592763300591436,1000,1.0
17,38.93754,12.695023,0.4014518630957868,1000,1.0
18,41.314465,13.197893,0.41735402646450276,1000,1.0
19,43.48998,13.37475,0.4229467356960978,1000,1.0
20,45.697994,13.758165,0.43507138961240044,1000,1.0
21,47.7742,13.9289665,0.4404725966243942,1000,1.0
22,50.110645,14.046784,0.4441983250829405,1000,1.0
23,52.333794,14.358512,0.4540560149287813,1000,1.0
24,54.70809,14.596629,0.4615859425191656,1000,1.0
25,56.845615,14.883312,0.4706516575950929,1000,1.0
26,58.90532,15.032946,0.4753834814155479,1000,1.0
27,61.220566,15.599258,0.4932918642577692,1000,1.0
28,63.121075,16.038504,0.5071820178496469,1000,1.0
29,65.40605,16.391819,0.5183548303399562,1000,1.0
30,67.85471,16.563044,0.5237694274284072,1000,1.0
31,68.87099,17.083832,0.5402381961045042,1000,1.0
32,71.44921,17.102015,0.5408131852885859,1000,1.0
33,74.14206,17.201834,0.5439697450242131,1000,1.0
34,76.346954,17.428757,0.5511456800077186,1000,1.0
35,78.429474,17.56706,0.5555192288094549,1000,1.0
36,80.56278,17.867613,0.5650235292050141,1000,1.0
37,82.85403,18.562874,0.5870096125380599,1000,1.0
38,85.405655,18.86203,0.5964697618707063,1000,1.0
39,87.54943,19.287655,0.6099292013365452,1000,1.0
40,89.73155,19.397707,0.6134093545865539,1000,1.0
41,91.70562,19.602198,0.6198759170961282,1000,1.0
42,93.75069,19.727663,0.6238434811923097,1000,1.0
43,95.92872,19.915821,0.6297935607077277,1000,1.0
44,97.93046,20.006464,0.6326599418044566,1000,1.0
45,100.009735,20.161753,0.6375706015559724,1000,1.0
46,102.166016,20.505169,0.6484303757723507,1000,1.0
47,104.503006,21.23903,0.6716371274267484,1000,1.0
48,106.62061,21.417896,0.6772933490480254,1000,1.0
49,108.91216,21.75529,0.6879626464110177,1000,1.0
50,111.55737,21.862122,0.6913409868274241,1000,1.0
