step,mean,count
1,0.6036853790283203,1000
3,1.6106390953063965,1000
5,2.682417392730713,1000
7,3.6175968647003174,1000
9,4.575491905212402,1000
10,4.880877494812012,1000
20,6.724472999572754,1000
30,6.895850658416748,1000
40,6.906518936157227,1000
50,6.907368183135986,1000
