corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.4128231406211853,
,,0.0072612652676067035,19,,
,0,,19,0.2593882977962494,
,,0.011482300025506945,29,,
,0,,29,0.2411382496356964,
,,0.01724118604844578,39,,
,0,,39,0.27341777086257935,
,,0.024319344538486373,49,,
,0,,49,0.25377434492111206,
0.058401647955179214,0,,53,,0.25090330839157104
,,0.03244812364730308,59,,
,1,,59,0.23468898236751556,
,,0.04131899517009691,69,,
,1,,69,0.23780445754528046,
,,0.050595264748552596,79,,
,1,,79,0.24481864273548126,
,,0.05992485112151644,89,,
,1,,89,0.23651880025863647,
,,0.0689536493863167,99,,
,1,,99,0.24176323413848877,
0.06046375632286072,1,,107,,0.23814548552036285
,,0.07733897106749596,109,,
,2,,109,0.2340444177389145,
,,0.08476255087449538,119,,
,2,,119,0.2430286854505539,
,,0.0909426264761734,129,,
,2,,129,0.2306477427482605,
,,0.09564463280373148,139,,
,2,,139,0.24366670846939087,
,,0.09869010497926176,149,,
,2,,149,0.234154611825943,
,,0.09996345195883216,159,,
,2,,159,0.24542587995529175,
0.1338280737400055,2,,161,,0.2412770837545395
,,0.09988952235883158,169,,
,3,,169,0.23688453435897827,
,,0.09944154354509119,179,,
,3,,179,0.23387616872787476,
,,0.09865224892001707,189,,
,3,,189,0.24260269105434418,
,,0.09752708733908166,199,,
,3,,199,0.2322588413953781,
,,0.09607382629827801,209,,
,3,,209,0.24444697797298431,
0.10828797519207001,3,,215,,0.2381996512413025
,,0.09430249831160464,219,,
,4,,219,0.24809400737285614,
,,0.09222533165211319,229,,
,4,,229,0.22648675739765167,
,,0.08985666593464468,239,,
,4,,239,0.23635298013687134,
,,0.08721285312302468,249,,
,4,,249,0.2281932383775711,
,,0.08431214464510911,259,,
,4,,259,0.24274520576000214,
,,0.0811745653949763,269,,
,4,,269,0.23683379590511322,
0.014487924985587597,4,,269,,0.23825448751449585
,,0.07782177549208494,279,,
,5,,279,0.24241909384727478,
,,0.07427692075173617,289,,
,5,,289,0.2418486773967743,
,,0.07056447289910997,299,,
,5,,299,0.23583945631980896,
,,0.06671006062994951,309,,
,5,,309,0.24598944187164307,
,,0.06274029268415816,319,,
,5,,319,0.24124297499656677,
0.21636398136615753,5,,323,,0.23859535157680511
,,0.058682574153711,329,,
,6,,329,0.2248818576335907,
,,0.05456491729299021,339,,
,6,,339,0.24206912517547607,
,,0.05041574813760566,349,,
,6,,349,0.2540784478187561,
,,0.046263710266697504,359,,
,6,,359,0.23087821900844574,
,,0.042137467063438294,369,,
,6,,369,0.2323177307844162,
0.11765369027853012,6,,377,,0.2373327612876892
,,0.038065503838818716,379,,
,7,,379,0.2432241439819336,
,,0.034075931184745833,389,,
,7,,389,0.23923668265342712,
,,0.03019629091399537,399,,
,7,,399,0.2320050597190857,
,,0.026453365926702055,409,,
,7,,409,0.23004359006881714,
,,0.02287299531596481,419,,
,7,,419,0.2305314987897873,
,,0.01947989598897622,429,,
,7,,429,0.23614878952503204,
0.10516750812530518,7,,431,,0.23782415688037872
,,0.016297492035105336,439,,
,8,,439,0.23127049207687378,
,,0.01334775301888306,449,,
,8,,449,0.23083943128585815,
,,0.010651042314225891,459,,
,8,,459,0.23600898683071136,
,,0.008225976526915469,469,,
,8,,469,0.24209807813167572,
,,0.006089296975803242,479,,
,8,,479,0.2505195736885071,
0.15008024871349335,8,,485,,0.2370481789112091
,,0.004255754119963707,489,,
,9,,489,0.24127477407455444,
,,0.0027380057296470376,499,,
,9,,499,0.23433303833007812,
,,0.0015465295040033534,509,,
,9,,509,0.23551036417484283,
,,0.0006895507388171068,519,,
,9,,519,0.24643196165561676,
,,0.00017298554359429017,529,,
,9,,529,0.2318854182958603,
,,4e-07,539,,
,9,,539,0.23054543137550354,
0.15173152089118958,9,,539,,0.23690077662467957
