corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.5632921457290649,
,,0.0072612652676067035,19,,
,0,,19,0.21784193813800812,
,,0.011482300025506945,29,,
,0,,29,0.07008174806833267,
,,0.01724118604844578,39,,
,0,,39,0.03221824765205383,
,,0.024319344538486373,49,,
,0,,49,0.03342566266655922,
0.17137423157691956,0,,53,,0.04060543328523636
,,0.03244812364730308,59,,
,1,,59,0.036134324967861176,
,,0.04131899517009691,69,,
,1,,69,0.02908765897154808,
,,0.050595264748552596,79,,
,1,,79,0.028902074322104454,
,,0.05992485112151644,89,,
,1,,89,0.026854516938328743,
,,0.0689536493863167,99,,
,1,,99,0.03011772781610489,
0.25882887840270996,1,,107,,0.04005574434995651
,,0.07733897106749596,109,,
,2,,109,0.037925541400909424,
,,0.08476255087449538,119,,
,2,,119,0.02674863673746586,
,,0.0909426264761734,129,,
,2,,129,0.03104468062520027,
,,0.09564463280373148,139,,
,2,,139,0.02249855548143387,
,,0.09869010497926176,149,,
,2,,149,0.035696037113666534,
,,0.09996345195883216,159,,
,2,,159,0.02806486375629902,
0.18657521903514862,2,,161,,0.04030604287981987
,,0.09988952235883158,169,,
,3,,169,0.0318947434425354,
,,0.09944154354509119,179,,
,3,,179,0.02910049818456173,
,,0.09865224892001707,189,,
,3,,189,0.03385661914944649,
,,0.09752708733908166,199,,
,3,,199,0.0334811732172966,
,,0.09607382629827801,209,,
,3,,209,0.027360744774341583,
0.07807809114456177,3,,215,,0.043166469782590866
,,0.09430249831160464,219,,
,4,,219,0.025957593694329262,
,,0.09222533165211319,229,,
,4,,229,0.033106718212366104,
,,0.08985666593464468,239,,
,4,,239,0.026101211085915565,
,,0.08721285312302468,249,,
,4,,249,0.029978005215525627,
,,0.08431214464510911,259,,
,4,,259,0.03508668765425682,
,,0.0811745653949763,269,,
,4,,269,0.033395424485206604,
0.21065190434455872,4,,269,,0.03654826804995537
,,0.07782177549208494,279,,
,5,,279,0.030003365129232407,
,,0.07427692075173617,289,,
,5,,289,0.035782452672719955,
,,0.07056447289910997,299,,
,5,,299,0.02829936146736145,
,,0.06671006062994951,309,,
,5,,309,0.027381423860788345,
,,0.06274029268415816,319,,
,5,,319,0.02497197315096855,
0.30295175313949585,5,,323,,0.03761040046811104
,,0.058682574153711,329,,
,6,,329,0.033097878098487854,
,,0.05456491729299021,339,,
,6,,339,0.028560180217027664,
,,0.05041574813760566,349,,
,6,,349,0.030486825853586197,
,,0.046263710266697504,359,,
,6,,359,0.03535275533795357,
,,0.042137467063438294,369,,
,6,,369,0.033779021352529526,
0.32069963216781616,6,,377,,0.03701694682240486
,,0.038065503838818716,379,,
,7,,379,0.03206220641732216,
,,0.034075931184745833,389,,
,7,,389,0.03273637965321541,
,,0.03019629091399537,399,,
,7,,399,0.025863725692033768,
,,0.026453365926702055,409,,
,7,,409,0.03996207192540169,
,,0.02287299531596481,419,,
,7,,419,0.02512931264936924,
,,0.01947989598897622,429,,
,7,,429,0.029632316902279854,
0.43393367528915405,7,,431,,0.03404631093144417
,,0.016297492035105336,439,,
,8,,439,0.030300583690404892,
,,0.01334775301888306,449,,
,8,,449,0.02978667989373207,
,,0.010651042314225891,459,,
,8,,459,0.03143468499183655,
,,0.008225976526915469,469,,
,8,,469,0.02868432179093361,
,,0.006089296975803242,479,,
,8,,479,0.02766568586230278,
0.4021247923374176,8,,485,,0.034056223928928375
,,0.004255754119963707,489,,
,9,,489,0.03088606707751751,
,,0.0027380057296470376,499,,
,9,,499,0.026394657790660858,
,,0.0015465295040033534,509,,
,9,,509,0.019747700542211533,
,,0.0006895507388171068,519,,
,9,,519,0.03346800431609154,
,,0.00017298554359429017,529,,
,9,,529,0.021590890362858772,
,,4e-07,539,,
,9,,539,0.04095227271318436,
0.4899229109287262,9,,539,,0.033094536513090134
