step,mean,count
1,0.3731880187988281,1000
3,1.0300421714782715,1000
5,1.7044939994812012,1000
7,2.3079991340637207,1000
9,3.0786828994750977,1000
10,3.4099514484405518,1000
20,5.778237342834473,1000
30,6.697499752044678,1000
40,6.83834981918335,1000
50,6.892221450805664,1000
