step,mean,ess,count,resample_fraction
1,0.0022089344,511.2966,1000,0.0
2,0.0036217151,510.5407,1000,0.0
3,0.0049429177,509.59683,1000,0.0
4,0.006565198,508.68765,1000,0.0
5,0.004439619,507.53802,1000,0.0
6,0.0032756827,506.27786,1000,0.0
7,0.002895719,505.02814,1000,0.0
8,0.005574266,503.87595,1000,0.0
9,0.006042966,502.5704,1000,0.0
10,0.007472112,501.293,1000,0.0
11,0.008338204,499.97446,1000,0.0
12,0.009752658,498.7399,1000,0.0
13,0.007934276,497.52014,1000,0.0
14,0.0068676444,496.33374,1000,0.0
15,0.007572741,495.0768,1000,0.0
16,0.0106965555,493.82678,1000,0.0
17,0.013095841,492.56375,1000,0.0
18,0.014935171,491.27917,1000,0.0
19,0.014097734,490.0507,1000,0.0
20,0.016703939,488.78302,1000,0.0
21,0.015879672,487.555,1000,0.0
22,0.017776882,486.42203,1000,0.0
23,0.017690036,485.2447,1000,0.0
24,0.020392042,483.95755,1000,0.0
25,0.021791426,482.78394,1000,0.0
26,0.022372719,481.5708,1000,0.0
27,0.027162217,480.32822,1000,0.0
28,0.030348081,479.13528,1000,0.0
29,0.034084048,477.96744,1000,0.0
30,0.036505397,476.89832,1000,0.0
31,0.03618305,475.73508,1000,0.0
32,0.038742825,474.5609,1000,0.0
33,0.038924996,473.3843,1000,0.0
34,0.041608673,472.21457,1000,0.0
35,0.04013469,471.05835,1000,0.0
36,0.03865587,469.853,1000,0.0
37,0.03773655,468.69675,1000,0.0
38,0.03784214,467.53537,1000,0.0
39,0.038470775,466.31516,1000,0.0
40,0.038657703,465.19266,1000,0.0
41,0.03916673,464.0701,1000,0.0
42,0.037098337,462.83823,1000,0.0
43,0.036985256,461.7307,1000,0.0
44,0.03889642,460.58057,1000,0.0
45,0.040747058,459.4065,1000,0.0
46,0.044767298,458.23776,1000,0.0
47,0.046101034,457.12158,1000,0.0
48,0.04593105,456.0225,1000,0.0
49,0.04625958,454.73547,1000,0.0
50,0.049829572,453.62424,1000,0.0
