corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.37547630071640015,
,,0.0072612652676067035,19,,
,0,,19,0.15667691826820374,
,,0.011482300025506945,29,,
,0,,29,0.07074762135744095,
,,0.01724118604844578,39,,
,0,,39,0.05543430894613266,
,,0.024319344538486373,49,,
,0,,49,0.047188472002744675,
0.0689089447259903,0,,53,,0.05494706332683563
,,0.03244812364730308,59,,
,1,,59,0.044860243797302246,
,,0.04131899517009691,69,,
,1,,69,0.036511536687612534,
,,0.050595264748552596,79,,
,1,,79,0.036024436354637146,
,,0.05992485112151644,89,,
,1,,89,0.041257504373788834,
,,0.0689536493863167,99,,
,1,,99,0.03606578707695007,
0.517870306968689,1,,107,,0.040524922311306
,,0.07733897106749596,109,,
,2,,109,0.03187747299671173,
,,0.08476255087449538,119,,
,2,,119,0.03435858339071274,
,,0.0909426264761734,129,,
,2,,129,0.036748770624399185,
,,0.09564463280373148,139,,
,2,,139,0.03906503692269325,
,,0.09869010497926176,149,,
,2,,149,0.03583912551403046,
,,0.09996345195883216,159,,
,2,,159,0.03374527767300606,
0.6012899875640869,2,,161,,0.036095958203077316
,,0.09988952235883158,169,,
,3,,169,0.03244858980178833,
,,0.09944154354509119,179,,
,3,,179,0.031673599034547806,
,,0.09865224892001707,189,,
,3,,189,0.03356292471289635,
,,0.09752708733908166,199,,
,3,,199,0.038372110575437546,
,,0.09607382629827801,209,,
,3,,209,0.030531179159879684,
0.5550880432128906,3,,215,,0.03713413327932358
,,0.09430249831160464,219,,
,4,,219,0.03193902224302292,
,,0.09222533165211319,229,,
,4,,229,0.03549964353442192,
,,0.08985666593464468,239,,
,4,,239,0.03036329336464405,
,,0.08721285312302468,249,,
,4,,249,0.030353520065546036,
,,0.08431214464510911,259,,
,4,,259,0.03480095788836479,
,,0.0811745653949763,269,,
,4,,269,0.03815777972340584,
0.7604479789733887,4,,269,,0.030248558148741722
,,0.07782177549208494,279,,
,5,,279,0.030344100669026375,
,,0.07427692075173617,289,,
,5,,289,0.03434981033205986,
,,0.07056447289910997,299,,
,5,,299,0.03825097903609276,
,,0.06671006062994951,309,,
,5,,309,0.03846839815378189,
,,0.06274029268415816,319,,
,5,,319,0.03193196654319763,
0.6582432985305786,5,,323,,0.03719838336110115
,,0.058682574153711,329,,
,6,,329,0.027644367888569832,
,,0.05456491729299021,339,,
,6,,339,0.03562617301940918,
,,0.05041574813760566,349,,
,6,,349,0.026914531365036964,
,,0.046263710266697504,359,,
,6,,359,0.03171361982822418,
,,0.042137467063438294,369,,
,6,,369,0.029389638453722,
0.7959563136100769,6,,377,,0.030585331842303276
,,0.038065503838818716,379,,
,7,,379,0.0360688641667366,
,,0.034075931184745833,389,,
,7,,389,0.03511812537908554,
,,0.03019629091399537,399,,
,7,,399,0.03435298800468445,
,,0.026453365926702055,409,,
,7,,409,0.031133146956562996,
,,0.02287299531596481,419,,
,7,,419,0.0431126169860363,
,,0.01947989598897622,429,,
,7,,429,0.02775433287024498,
0.8205556869506836,7,,431,,0.029105206951498985
,,0.016297492035105336,439,,
,8,,439,0.035068854689598083,
,,0.01334775301888306,449,,
,8,,449,0.027992000803351402,
,,0.010651042314225891,459,,
,8,,459,0.02942751906812191,
,,0.008225976526915469,469,,
,8,,469,0.0307916346937418,
,,0.006089296975803242,479,,
,8,,479,0.022964486852288246,
0.8087462782859802,8,,485,,0.029859526082873344
,,0.004255754119963707,489,,
,9,,489,0.030108338221907616,
,,0.0027380057296470376,499,,
,9,,499,0.028246521949768066,
,,0.0015465295040033534,509,,
,9,,509,0.028391990810632706,
,,0.0006895507388171068,519,,
,9,,519,0.026151664555072784,
,,0.00017298554359429017,529,,
,9,,529,0.03609493374824524,
,,4e-07,539,,
,9,,539,0.02486797422170639,
0.8345175385475159,9,,539,,0.0290987491607666
