corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.5080621838569641,
,,0.0072612652676067035,19,,
,0,,19,0.20548392832279205,
,,0.011482300025506945,29,,
,0,,29,0.07469241321086884,
,,0.01724118604844578,39,,
,0,,39,0.037195753306150436,
,,0.024319344538486373,49,,
,0,,49,0.034440986812114716,
0.485158234834671,0,,53,,0.032062381505966187
,,0.03244812364730308,59,,
,1,,59,0.04653240740299225,
,,0.04131899517009691,69,,
,1,,69,0.03321937471628189,
,,0.050595264748552596,79,,
,1,,79,0.027509436011314392,
,,0.05992485112151644,89,,
,1,,89,0.03499111160635948,
,,0.0689536493863167,99,,
,1,,99,0.03072420135140419,
0.3671422600746155,1,,107,,0.03645596280694008
,,0.07733897106749596,109,,
,2,,109,0.03716134652495384,
,,0.08476255087449538,119,,
,2,,119,0.03263341635465622,
,,0.0909426264761734,129,,
,2,,129,0.03764082118868828,
,,0.09564463280373148,139,,
,2,,139,0.034913256764411926,
,,0.09869010497926176,149,,
,2,,149,0.029736775904893875,
,,0.09996345195883216,159,,
,2,,159,0.027842344716191292,
0.4302905201911926,2,,161,,0.03259317949414253
,,0.09988952235883158,169,,
,3,,169,0.034695617854595184,
,,0.09944154354509119,179,,
,3,,179,0.027504535391926765,
,,0.09865224892001707,189,,
,3,,189,0.031120149418711662,
,,0.09752708733908166,199,,
,3,,199,0.033018797636032104,
,,0.09607382629827801,209,,
,3,,209,0.03195808082818985,
0.5289008021354675,3,,215,,0.03388987109065056
,,0.09430249831160464,219,,
,4,,219,0.03007129579782486,
,,0.09222533165211319,229,,
,4,,229,0.036211419850587845,
,,0.08985666593464468,239,,
,4,,239,0.027479996904730797,
,,0.08721285312302468,249,,
,4,,249,0.028404774144291878,
,,0.08431214464510911,259,,
,4,,259,0.02765360288321972,
,,0.0811745653949763,269,,
,4,,269,0.025685377418994904,
0.4435202181339264,4,,269,,0.031906042248010635
,,0.07782177549208494,279,,
,5,,279,0.0354418084025383,
,,0.07427692075173617,289,,
,5,,289,0.03723644092679024,
,,0.07056447289910997,299,,
,5,,299,0.02775637060403824,
,,0.06671006062994951,309,,
,5,,309,0.03170785680413246,
,,0.06274029268415816,319,,
,5,,319,0.028193490579724312,
0.5866916179656982,5,,323,,0.0314091257750988
,,0.058682574153711,329,,
,6,,329,0.035084523260593414,
,,0.05456491729299021,339,,
,6,,339,0.04286719486117363,
,,0.05041574813760566,349,,
,6,,349,0.031275395303964615,
,,0.046263710266697504,359,,
,6,,359,0.030349338427186012,
,,0.042137467063438294,369,,
,6,,369,0.03060000389814377,
0.5989155173301697,6,,377,,0.032416652888059616
,,0.038065503838818716,379,,
,7,,379,0.037522029131650925,
,,0.034075931184745833,389,,
,7,,389,0.02719445712864399,
,,0.03019629091399537,399,,
,7,,399,0.033815257251262665,
,,0.026453365926702055,409,,
,7,,409,0.03080352395772934,
,,0.02287299531596481,419,,
,7,,419,0.03654387593269348,
,,0.01947989598897622,429,,
,7,,429,0.035125985741615295,
0.6256399154663086,7,,431,,0.03032081574201584
,,0.016297492035105336,439,,
,8,,439,0.03355025500059128,
,,0.01334775301888306,449,,
,8,,449,0.028558554127812386,
,,0.010651042314225891,459,,
,8,,459,0.027323095127940178,
,,0.008225976526915469,469,,
,8,,469,0.028514796867966652,
,,0.006089296975803242,479,,
,8,,479,0.038539741188287735,
0.6538959741592407,8,,485,,0.030077839270234108
,,0.004255754119963707,489,,
,9,,489,0.03493446111679077,
,,0.0027380057296470376,499,,
,9,,499,0.0215600673109293,
,,0.0015465295040033534,509,,
,9,,509,0.03338652104139328,
,,0.0006895507388171068,519,,
,9,,519,0.028744107112288475,
,,0.00017298554359429017,529,,
,9,,529,0.025003762915730476,
,,4e-07,539,,
,9,,539,0.03632194921374321,
0.6513625979423523,9,,539,,0.029740793630480766
