step,mean,ess,count,resample_fraction
1,0.008970264,507.09845,1000,0.0
2,0.013362826,492.0631,1000,0.002
3,0.021320106,482.66846,1000,0.001
4,0.02836824,477.2254,1000,0.001
5,0.02569996,471.49542,1000,0.001
6,0.024735183,466.67725,1000,0.001
7,0.02613907,462.1375,1000,0.0
8,0.037482277,457.79608,1000,0.001
9,0.043858733,453.18588,1000,0.0
10,0.049554013,448.3674,1000,0.0
11,0.050903205,443.44702,1000,0.0
12,0.05658501,439.01776,1000,0.001
13,0.05844059,435.15665,1000,0.001
14,0.059385825,431.14172,1000,0.0
15,0.066516064,426.7027,1000,0.0
16,0.08170251,422.35907,1000,0.0
17,0.09149357,418.02875,1000,0.0
18,0.097469024,413.51477,1000,0.001
19,0.10192796,409.77277,1000,0.001
20,0.113374725,405.57077,1000,0.001
21,0.11500685,402.4047,1000,0.001
22,0.12685728,398.73306,1000,0.003
23,0.12740134,396.0121,1000,0.0
24,0.13553686,391.88776,1000,0.002
25,0.14265086,388.30954,1000,0.003
26,0.1487388,384.82553,1000,0.004
27,0.1643999,381.9956,1000,0.0
28,0.1766512,378.33096,1000,0.001
29,0.190482,374.71597,1000,0.003
30,0.19940011,371.93848,1000,0.001
31,0.20128505,368.6032,1000,0.003
32,0.2128571,365.79782,1000,0.001
33,0.21573657,362.07275,1000,0.004
34,0.22691242,359.73547,1000,0.003
35,0.22657366,357.33365,1000,0.003
36,0.22710195,354.7078,1000,0.004
37,0.2297449,352.1888,1000,0.002
38,0.23432861,349.2959,1000,0.009
39,0.23935224,348.18167,1000,0.007
40,0.24286897,346.65225,1000,0.007
41,0.24906135,345.43594,1000,0.003
42,0.2523508,342.94086,1000,0.005
43,0.25945106,340.99258,1000,0.009
44,0.2675474,339.91223,1000,0.013
45,0.27340713,340.15598,1000,0.011
46,0.28708282,339.45673,1000,0.008
47,0.29476544,338.09528,1000,0.007
48,0.29812968,336.6116,1000,0.009
49,0.30177408,335.61298,1000,0.02
50,0.3127049,337.52313,1000,0.007
