corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.44299378991127014,
,,0.0072612652676067035,19,,
,0,,19,0.20438316464424133,
,,0.011482300025506945,29,,
,0,,29,0.1251804679632187,
,,0.01724118604844578,39,,
,0,,39,0.13276326656341553,
,,0.024319344538486373,49,,
,0,,49,0.13714493811130524,
0.1242983490228653,0,,53,,0.1520889401435852
,,0.03244812364730308,59,,
,1,,59,0.17376002669334412,
,,0.04131899517009691,69,,
,1,,69,0.14254604279994965,
,,0.050595264748552596,79,,
,1,,79,0.12562353909015656,
,,0.05992485112151644,89,,
,1,,89,0.13099832832813263,
,,0.0689536493863167,99,,
,1,,99,0.13711829483509064,
0.20879338681697845,1,,107,,0.12489789724349976
,,0.07733897106749596,109,,
,2,,109,0.12573544681072235,
,,0.08476255087449538,119,,
,2,,119,0.12484215199947357,
,,0.0909426264761734,129,,
,2,,129,0.14539705216884613,
,,0.09564463280373148,139,,
,2,,139,0.13687531650066376,
,,0.09869010497926176,149,,
,2,,149,0.11336764693260193,
,,0.09996345195883216,159,,
,2,,159,0.12641029059886932,
0.27639955282211304,2,,161,,0.13006676733493805
,,0.09988952235883158,169,,
,3,,169,0.1376359909772873,
,,0.09944154354509119,179,,
,3,,179,0.12587934732437134,
,,0.09865224892001707,189,,
,3,,189,0.11544384062290192,
,,0.09752708733908166,199,,
,3,,199,0.12505166232585907,
,,0.09607382629827801,209,,
,3,,209,0.1320468634366989,
0.2700614929199219,3,,215,,0.12495370209217072
,,0.09430249831160464,219,,
,4,,219,0.13031478226184845,
,,0.09222533165211319,229,,
,4,,229,0.1204141229391098,
,,0.08985666593464468,239,,
,4,,239,0.12545999884605408,
,,0.08721285312302468,249,,
,4,,249,0.1362965852022171,
,,0.08431214464510911,259,,
,4,,259,0.12262038886547089,
,,0.0811745653949763,269,,
,4,,269,0.12752078473567963,
0.04244519770145416,4,,269,,0.12826408445835114
,,0.07782177549208494,279,,
,5,,279,0.11836567521095276,
,,0.07427692075173617,289,,
,5,,289,0.13559255003929138,
,,0.07056447289910997,299,,
,5,,299,0.1178775280714035,
,,0.06671006062994951,309,,
,5,,309,0.1414063721895218,
,,0.06274029268415816,319,,
,5,,319,0.1256471574306488,
0.3063676059246063,5,,323,,0.12400268018245697
,,0.058682574153711,329,,
,6,,329,0.11659657955169678,
,,0.05456491729299021,339,,
,6,,339,0.11350179463624954,
,,0.05041574813760566,349,,
,6,,349,0.13318289816379547,
,,0.046263710266697504,359,,
,6,,359,0.11883657425642014,
,,0.042137467063438294,369,,
,6,,369,0.12158209830522537,
0.06795257329940796,6,,377,,0.1247011348605156
,,0.038065503838818716,379,,
,7,,379,0.13204628229141235,
,,0.034075931184745833,389,,
,7,,389,0.12026698887348175,
,,0.03019629091399537,399,,
,7,,399,0.12971417605876923,
,,0.026453365926702055,409,,
,7,,409,0.12725107371807098,
,,0.02287299531596481,419,,
,7,,419,0.1275830864906311,
,,0.01947989598897622,429,,
,7,,429,0.12266895174980164,
0.20079050958156586,7,,431,,0.12375809252262115
,,0.016297492035105336,439,,
,8,,439,0.11658845841884613,
,,0.01334775301888306,449,,
,8,,449,0.12568877637386322,
,,0.010651042314225891,459,,
,8,,459,0.11767537891864777,
,,0.008225976526915469,469,,
,8,,469,0.11143854260444641,
,,0.006089296975803242,479,,
,8,,479,0.12473326176404953,
0.41745370626449585,8,,485,,0.12195871770381927
,,0.004255754119963707,489,,
,9,,489,0.1305001825094223,
,,0.0027380057296470376,499,,
,9,,499,0.13347196578979492,
,,0.0015465295040033534,509,,
,9,,509,0.1357681006193161,
,,0.0006895507388171068,519,,
,9,,519,0.12395293265581131,
,,0.00017298554359429017,529,,
,9,,529,0.1140505000948906,
,,4e-07,539,,
,9,,539,0.10028205811977386,
0.36366865038871765,9,,539,,0.12178345024585724
