step,mean,std,stderr,count
1,0.6336277,0.74432564,0.0235376433636049,1000
2,1.2402378,1.01773,0.03218344835604023,1000
3,1.8379678,1.2341825,0.039028276755800756,1000
4,2.4507248,1.4096738,0.0445777999750385,1000
5,3.026307,1.5998076,0.05059035897446587,1000
6,3.6044662,1.7151359,0.05423736041816658,1000
7,4.212544,1.8202856,0.05756248357405903,1000
8,4.8780246,1.9596095,0.06196829371428638,1000
9,5.474333,2.0995443,0.0663934199445381,1000
10,6.083958,2.219418,0.07018416114480178,1000
11,6.694075,2.3256571,0.0735437358515788,1000
12,7.32725,2.4523017,0.07754859010438023,1000
13,7.915561,2.520963,0.07971984830178616,1000
14,8.511907,2.6260805,0.08304395740064961,1000
15,9.135394,2.6962037,0.0852614475512286,1000
16,9.76181,2.7839432,0.08803601313495339,1000
17,10.398225,2.9054058,0.09187699727976131,1000
18,11.018442,2.926677,0.09254965259583973,1000
19,11.595567,2.967459,0.09383929187407784,1000
20,12.21522,3.0621605,0.096834017155227,1000
21,12.86097,3.1499128,0.09960898986965488,1000
22,13.498294,3.2210224,0.101857670755765,1000
23,14.1022,3.2897608,0.10403137173738948,1000
24,14.715466,3.3544488,0.10607698487614753,1000
25,15.335738,3.4405766,0.1088005837274115,1000
26,15.926282,3.5297747,0.11162127571190483,1000
27,16.550215,3.5941567,0.11365721572673577,1000
28,17.191406,3.6534722,0.1155329347309861,1000
29,17.823246,3.7582724,0.11884700881196414,1000
30,18.460098,3.845088,0.12159235899801353,1000
31,19.077234,3.8574984,0.12198481037741937,1000
32,19.702007,3.9155471,0.12382047224416017,1000
33,20.308018,3.9923346,0.12624870530979018,1000
34,20.922915,4.004763,0.12664172968796333,1000
35,21.50327,4.017846,0.1270554498768769,1000
36,22.095905,4.100903,0.12968194051599655,1000
37,22.667171,4.161564,0.13160020467871972,1000
38,23.263496,4.2330112,0.1338595689760572,1000
39,23.882109,4.2990885,0.1359491145334616,1000
40,24.49672,4.3675723,0.13811476337451384,1000
41,25.094135,4.465904,0.14122429197447675,1000
42,25.66736,4.514264,0.14275356536877035,1000
43,26.298168,4.591569,0.1451981590570986,1000
44,26.914179,4.647702,0.14697324892256863,1000
45,27.521364,4.7056346,0.1488052315340667,1000
46,28.130806,4.7751684,0.1510040841457931,1000
47,28.747051,4.862769,0.1537742617652735,1000
48,29.345457,4.9346194,0.1560463677457262,1000
49,29.987856,4.9475975,0.1564567705733553,1000
50,30.604216,4.994655,0.15794486345097714,1000
