corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.6519262790679932,
,,0.0072612652676067035,19,,
,0,,19,0.2798111140727997,
,,0.011482300025506945,29,,
,0,,29,0.10731960088014603,
,,0.01724118604844578,39,,
,0,,39,0.05971556156873703,
,,0.024319344538486373,49,,
,0,,49,0.054252058267593384,
0.015361377038061619,0,,53,,0.0640106126666069
,,0.03244812364730308,59,,
,1,,59,0.05383065715432167,
,,0.04131899517009691,69,,
,1,,69,0.054537490010261536,
,,0.050595264748552596,79,,
,1,,79,0.05839291587471962,
,,0.05992485112151644,89,,
,1,,89,0.041087254881858826,
,,0.0689536493863167,99,,
,1,,99,0.05173393338918686,
0.1392284482717514,1,,107,,0.057386234402656555
,,0.07733897106749596,109,,
,2,,109,0.046128373593091965,
,,0.08476255087449538,119,,
,2,,119,0.043997425585985184,
,,0.0909426264761734,129,,
,2,,129,0.040398355573415756,
,,0.09564463280373148,139,,
,2,,139,0.03646492213010788,
,,0.09869010497926176,149,,
,2,,149,0.0825265571475029,
,,0.09996345195883216,159,,
,2,,159,0.040106963366270065,
0.3294866681098938,2,,161,,0.053377535194158554
,,0.09988952235883158,169,,
,3,,169,0.05110713094472885,
,,0.09944154354509119,179,,
,3,,179,0.04093481972813606,
,,0.09865224892001707,189,,
,3,,189,0.04854053631424904,
,,0.09752708733908166,199,,
,3,,199,0.03000677190721035,
,,0.09607382629827801,209,,
,3,,209,0.06142277270555496,
0.25999584794044495,3,,215,,0.05301486700773239
,,0.09430249831160464,219,,
,4,,219,0.05131541192531586,
,,0.09222533165211319,229,,
,4,,229,0.040545836091041565,
,,0.08985666593464468,239,,
,4,,239,0.04015018045902252,
,,0.08721285312302468,249,,
,4,,249,0.04407969117164612,
,,0.08431214464510911,259,,
,4,,259,0.053308743983507156,
,,0.0811745653949763,269,,
,4,,269,0.06316769868135452,
0.47617557644844055,4,,269,,0.04877539724111557
,,0.07782177549208494,279,,
,5,,279,0.04200177639722824,
,,0.07427692075173617,289,,
,5,,289,0.039657529443502426,
,,0.07056447289910997,299,,
,5,,299,0.03983943164348602,
,,0.06671006062994951,309,,
,5,,309,0.03572634235024452,
,,0.06274029268415816,319,,
,5,,319,0.03401259332895279,
0.3901125192642212,5,,323,,0.05191979557275772
,,0.058682574153711,329,,
,6,,329,0.055228885263204575,
,,0.05456491729299021,339,,
,6,,339,0.04147014021873474,
,,0.05041574813760566,349,,
,6,,349,0.035912543535232544,
,,0.046263710266697504,359,,
,6,,359,0.04521435871720314,
,,0.042137467063438294,369,,
,6,,369,0.03731976076960564,
0.46486911177635193,6,,377,,0.05127044394612312
,,0.038065503838818716,379,,
,7,,379,0.034817446023225784,
,,0.034075931184745833,389,,
,7,,389,0.037897419184446335,
,,0.03019629091399537,399,,
,7,,399,0.04893042519688606,
,,0.026453365926702055,409,,
,7,,409,0.04156012460589409,
,,0.02287299531596481,419,,
,7,,419,0.03926768898963928,
,,0.01947989598897622,429,,
,7,,429,0.04437468200922012,
0.6235647201538086,7,,431,,0.044803231954574585
,,0.016297492035105336,439,,
,8,,439,0.027732636779546738,
,,0.01334775301888306,449,,
,8,,449,0.037752214819192886,
,,0.010651042314225891,459,,
,8,,459,0.037112098187208176,
,,0.008225976526915469,469,,
,8,,469,0.04377640411257744,
,,0.006089296975803242,479,,
,8,,479,0.03353043645620346,
0.5913116335868835,8,,485,,0.04394448176026344
,,0.004255754119963707,489,,
,9,,489,0.030299924314022064,
,,0.0027380057296470376,499,,
,9,,499,0.03794655576348305,
,,0.0015465295040033534,509,,
,9,,509,0.04007367789745331,
,,0.0006895507388171068,519,,
,9,,519,0.035874880850315094,
,,0.00017298554359429017,529,,
,9,,529,0.03433863818645477,
,,4e-07,539,,
,9,,539,0.07417847961187363,
0.644248902797699,9,,539,,0.04295668005943298
