step,mean,ess,count,resample_fraction
1,0.44373012,480.2084,1000,0.008
2,0.86311245,425.33368,1000,0.043
3,1.2946991,387.1784,1000,0.075
4,1.7246225,363.6062,1000,0.084
5,2.118607,346.51575,1000,0.114
6,2.5090535,337.94763,1000,0.129
7,2.9296772,333.11203,1000,0.162
8,3.4074478,336.79526,1000,0.162
9,3.8319242,342.13663,1000,0.149
10,4.2636623,344.21243,1000,0.14
11,4.6871066,339.47934,1000,0.166
12,5.1320357,342.12656,1000,0.152
13,5.5360513,345.11282,1000,0.143
14,5.945423,341.46255,1000,0.154
15,6.3790455,343.5687,1000,0.148
16,6.8327713,343.90924,1000,0.164
17,7.296451,344.8274,1000,0.157
18,7.738033,347.40225,1000,0.153
19,8.130373,347.6001,1000,0.142
20,8.569178,343.71005,1000,0.144
21,9.027989,342.06064,1000,0.155
22,9.483512,346.9578,1000,0.137
23,9.898937,345.2398,1000,0.132
24,10.326451,342.05835,1000,0.15
25,10.766127,340.80756,1000,0.139
26,11.172359,338.4001,1000,0.179
27,11.625108,346.72394,1000,0.13
28,12.084618,342.73126,1000,0.135
29,12.543584,336.9392,1000,0.158
30,12.988262,339.5721,1000,0.139
31,13.412859,336.58508,1000,0.17
32,13.849952,342.44632,1000,0.161
33,14.272388,343.60107,1000,0.151
34,14.710257,345.3471,1000,0.161
35,15.109296,350.24255,1000,0.129
36,15.515133,344.9182,1000,0.139
37,15.910209,342.56015,1000,0.155
38,16.334448,347.3047,1000,0.137
39,16.77336,342.31018,1000,0.147
40,17.20481,341.1794,1000,0.166
41,17.621817,348.02872,1000,0.136
42,18.014294,346.23846,1000,0.137
43,18.445024,342.89877,1000,0.166
44,18.883532,348.7286,1000,0.129
45,19.308578,344.54648,1000,0.131
46,19.743727,340.6948,1000,0.153
47,20.17848,341.81134,1000,0.151
48,20.593052,343.77948,1000,0.145
49,21.047016,342.7133,1000,0.16
50,21.490915,346.95633,1000,0.134
