Time,MutualInformation,Variance,Count,SEM,n_particles,gain,kappa,tau
0.71,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.72,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.73,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.74,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.75,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.76,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.77,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.78,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.79,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.8,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.81,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.8200000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.8300000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.84,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.85,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.86,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.87,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.88,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.89,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.9,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.91,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.92,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.93,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.9400000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.9500000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.96,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.97,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.98,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
0.99,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.0,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.01,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.02,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.03,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.04,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.05,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.06,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.07,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.08,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.09,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.1,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.11,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.12,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.1300000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.1400000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.1500000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.16,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.17,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.18,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.19,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.2,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.21,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.22,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.23,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.24,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.25,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.26,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.27,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.28,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.29,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.3,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.31,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.32,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.33,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.34,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.35,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.36,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.37,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
