step,mean,count
1,0.36974430084228516,1000
3,1.0633816719055176,1000
5,1.5677642822265625,1000
7,2.3117780685424805,1000
9,2.9969770908355713,1000
10,3.3863635063171387,1000
20,5.8651018142700195,1000
30,6.707489967346191,1000
40,6.771730899810791,1000
50,6.895073890686035,1000
