corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.7045400738716125,
,,0.0072612652676067035,19,,
,0,,19,0.2879640460014343,
,,0.011482300025506945,29,,
,0,,29,0.09141837805509567,
,,0.01724118604844578,39,,
,0,,39,0.03656959533691406,
,,0.024319344538486373,49,,
,0,,49,0.021508188918232918,
-0.005829310044646263,0,,53,,0.0442478246986866
,,0.03244812364730308,59,,
,1,,59,0.029752645641565323,
,,0.04131899517009691,69,,
,1,,69,0.02886597439646721,
,,0.050595264748552596,79,,
,1,,79,0.034192852675914764,
,,0.05992485112151644,89,,
,1,,89,0.027516180649399757,
,,0.0689536493863167,99,,
,1,,99,0.04273718222975731,
0.033067114651203156,1,,107,,0.040906697511672974
,,0.07733897106749596,109,,
,2,,109,0.02807752788066864,
,,0.08476255087449538,119,,
,2,,119,0.028778232634067535,
,,0.0909426264761734,129,,
,2,,129,0.01879790425300598,
,,0.09564463280373148,139,,
,2,,139,0.02822936326265335,
,,0.09869010497926176,149,,
,2,,149,0.023607583716511726,
,,0.09996345195883216,159,,
,2,,159,0.028448862954974174,
0.1628795862197876,2,,161,,0.036433231085538864
,,0.09988952235883158,169,,
,3,,169,0.028238318860530853,
,,0.09944154354509119,179,,
,3,,179,0.02709086611866951,
,,0.09865224892001707,189,,
,3,,189,0.02392721362411976,
,,0.09752708733908166,199,,
,3,,199,0.01850118674337864,
,,0.09607382629827801,209,,
,3,,209,0.023050859570503235,
0.2709760069847107,3,,215,,0.03889277204871178
,,0.09430249831160464,219,,
,4,,219,0.02077876776456833,
,,0.09222533165211319,229,,
,4,,229,0.022803746163845062,
,,0.08985666593464468,239,,
,4,,239,0.018209051340818405,
,,0.08721285312302468,249,,
,4,,249,0.02084435522556305,
,,0.08431214464510911,259,,
,4,,259,0.028545696288347244,
,,0.0811745653949763,269,,
,4,,269,0.025254813954234123,
0.2740759551525116,4,,269,,0.03239913657307625
,,0.07782177549208494,279,,
,5,,279,0.021195096895098686,
,,0.07427692075173617,289,,
,5,,289,0.02574148215353489,
,,0.07056447289910997,299,,
,5,,299,0.022035136818885803,
,,0.06671006062994951,309,,
,5,,309,0.02254776656627655,
,,0.06274029268415816,319,,
,5,,319,0.015422075055539608,
0.277607798576355,5,,323,,0.03656961768865585
,,0.058682574153711,329,,
,6,,329,0.019731132313609123,
,,0.05456491729299021,339,,
,6,,339,0.027600465342402458,
,,0.05041574813760566,349,,
,6,,349,0.020016876980662346,
,,0.046263710266697504,359,,
,6,,359,0.026790468022227287,
,,0.042137467063438294,369,,
,6,,369,0.022432854399085045,
0.4192410707473755,6,,377,,0.030522270128130913
,,0.038065503838818716,379,,
,7,,379,0.024246444925665855,
,,0.034075931184745833,389,,
,7,,389,0.015110921114683151,
,,0.03019629091399537,399,,
,7,,399,0.01616482064127922,
,,0.026453365926702055,409,,
,7,,409,0.020208310335874557,
,,0.02287299531596481,419,,
,7,,419,0.011921987868845463,
,,0.01947989598897622,429,,
,7,,429,0.025951184332370758,
0.3731371760368347,7,,431,,0.029467333108186722
,,0.016297492035105336,439,,
,8,,439,0.02982756681740284,
,,0.01334775301888306,449,,
,8,,449,0.013860935345292091,
,,0.010651042314225891,459,,
,8,,459,0.018862683326005936,
,,0.008225976526915469,469,,
,8,,469,0.030027255415916443,
,,0.006089296975803242,479,,
,8,,479,0.02525099366903305,
0.4671969711780548,8,,485,,0.027414552867412567
,,0.004255754119963707,489,,
,9,,489,0.013026156462728977,
,,0.0027380057296470376,499,,
,9,,499,0.019627884030342102,
,,0.0015465295040033534,509,,
,9,,509,0.016807306557893753,
,,0.0006895507388171068,519,,
,9,,519,0.018531043082475662,
,,0.00017298554359429017,529,,
,9,,529,0.018322907388210297,
,,4e-07,539,,
,9,,539,0.023790881037712097,
0.4641799330711365,9,,539,,0.027381515130400658
