corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.4843648076057434,
,,0.0072612652676067035,19,,
,0,,19,0.17296986281871796,
,,0.011482300025506945,29,,
,0,,29,0.04394106566905975,
,,0.01724118604844578,39,,
,0,,39,0.010381549596786499,
,,0.024319344538486373,49,,
,0,,49,0.0035208945628255606,
-0.003135865554213524,0,,53,,0.007737059146165848
,,0.03244812364730308,59,,
,1,,59,0.002810643520206213,
,,0.04131899517009691,69,,
,1,,69,0.0028563516680151224,
,,0.050595264748552596,79,,
,1,,79,0.0021683592349290848,
,,0.05992485112151644,89,,
,1,,89,0.00019174818589817733,
,,0.0689536493863167,99,,
,1,,99,0.005495680961757898,
0.04308686405420303,1,,107,,0.007549712900072336
,,0.07733897106749596,109,,
,2,,109,0.003514281241223216,
,,0.08476255087449538,119,,
,2,,119,0.005157648120075464,
,,0.0909426264761734,129,,
,2,,129,0.0019904510118067265,
,,0.09564463280373148,139,,
,2,,139,0.005368080921471119,
,,0.09869010497926176,149,,
,2,,149,0.0010593984043225646,
,,0.09996345195883216,159,,
,2,,159,0.0034545897506177425,
-0.012141285464167595,2,,161,,0.0074350349605083466
,,0.09988952235883158,169,,
,3,,169,0.0038622550200670958,
,,0.09944154354509119,179,,
,3,,179,0.002908355323597789,
,,0.09865224892001707,189,,
,3,,189,0.0036366647109389305,
,,0.09752708733908166,199,,
,3,,199,0.0035841071512550116,
,,0.09607382629827801,209,,
,3,,209,0.0012389993062242866,
0.06586290895938873,3,,215,,0.007189261727035046
,,0.09430249831160464,219,,
,4,,219,0.004701392259448767,
,,0.09222533165211319,229,,
,4,,229,0.004840577486902475,
,,0.08985666593464468,239,,
,4,,239,0.0022797624114900827,
,,0.08721285312302468,249,,
,4,,249,0.0020179543644189835,
,,0.08431214464510911,259,,
,4,,259,0.003860066644847393,
,,0.0811745653949763,269,,
,4,,269,0.003730689873918891,
0.0277775339782238,4,,269,,0.007923676632344723
,,0.07782177549208494,279,,
,5,,279,0.0036021647974848747,
,,0.07427692075173617,289,,
,5,,289,0.0016790920635685325,
,,0.07056447289910997,299,,
,5,,299,0.0010375818237662315,
,,0.06671006062994951,309,,
,5,,309,0.0028300497215241194,
,,0.06274029268415816,319,,
,5,,319,0.0030146234203130007,
0.13262338936328888,5,,323,,0.007103307638317347
,,0.058682574153711,329,,
,6,,329,0.004675586707890034,
,,0.05456491729299021,339,,
,6,,339,0.0028405108023434877,
,,0.05041574813760566,349,,
,6,,349,0.0028756465762853622,
,,0.046263710266697504,359,,
,6,,359,0.006427966523915529,
,,0.042137467063438294,369,,
,6,,369,0.005325904581695795,
0.03772267326712608,6,,377,,0.006864412222057581
,,0.038065503838818716,379,,
,7,,379,0.004258469212800264,
,,0.034075931184745833,389,,
,7,,389,0.0023368156980723143,
,,0.03019629091399537,399,,
,7,,399,0.003196015954017639,
,,0.026453365926702055,409,,
,7,,409,0.002829611301422119,
,,0.02287299531596481,419,,
,7,,419,0.003452602308243513,
,,0.01947989598897622,429,,
,7,,429,0.003654058324173093,
0.13700516521930695,7,,431,,0.006767961196601391
,,0.016297492035105336,439,,
,8,,439,0.0025390712544322014,
,,0.01334775301888306,449,,
,8,,449,0.0022075746674090624,
,,0.010651042314225891,459,,
,8,,459,0.003214882919564843,
,,0.008225976526915469,469,,
,8,,469,0.004650762304663658,
,,0.006089296975803242,479,,
,8,,479,0.003204281907528639,
0.06904225796461105,8,,485,,0.00691375695168972
,,0.004255754119963707,489,,
,9,,489,0.003394774394109845,
,,0.0027380057296470376,499,,
,9,,499,0.001087757060304284,
,,0.0015465295040033534,509,,
,9,,509,0.0016146841226145625,
,,0.0006895507388171068,519,,
,9,,519,0.002245995681732893,
,,0.00017298554359429017,529,,
,9,,529,0.0029922169633209705,
,,4e-07,539,,
,9,,539,0.0007971522281877697,
0.1898658573627472,9,,539,,0.006452320609241724
