step,mean,std,stderr,count
1,0.38010865,0.7254441,0.022940556029694352,1000
2,0.7583241,0.9578804,0.030290837197340437,1000
3,1.1321925,1.1797397,0.0373066454134836,1000
4,1.5127575,1.3270777,0.04196588310719795,1000
5,1.8480225,1.4961914,0.04731372583925712,1000
6,2.1934187,1.6282637,0.05149021961096934,1000
7,2.5737178,1.7221228,0.05445830421916726,1000
8,3.0101364,1.8606089,0.058837620705863944,1000
9,3.3803182,1.987015,0.06283493173147202,1000
10,3.763173,2.1036308,0.06652264624548167,1000
11,4.142634,2.2073755,0.06980334314826385,1000
12,4.5434804,2.313568,0.07316144766083527,1000
13,4.8920956,2.3739793,0.07507181801159298,1000
14,5.255476,2.456211,0.07767221458842759,1000
15,5.6394906,2.5267336,0.07990233333025981,1000
16,6.0403,2.6122296,0.08260595261924254,1000
17,6.4515896,2.709615,0.08568554957307091,1000
18,6.8488007,2.7331078,0.08642845755380467,1000
19,7.197587,2.7621734,0.08734759281331644,1000
20,7.59034,2.851789,0.09018148638783033,1000
21,7.9986744,2.9356685,0.09283398815520294,1000
22,8.395002,2.9912264,0.09459088530981084,1000
23,8.761499,3.0623586,0.0968402824443801,1000
24,9.145111,3.1210873,0.09869744684380999,1000
25,9.535653,3.1952593,0.10104297206105314,1000
26,9.8969965,3.264949,0.10324675547796144,1000
27,10.297056,3.3262787,0.10518616781887287,1000
28,10.702627,3.3826447,0.10696861619482836,1000
29,11.110152,3.4914494,0.11040932300338216,1000
30,11.506534,3.5648503,0.11273046561518474,1000
31,11.885364,3.583688,0.1133261656889218,1000
32,12.275593,3.6395826,0.11509370855746974,1000
33,12.654004,3.69722,0.11691636486008407,1000
34,13.035943,3.709614,0.11730829601692486,1000
35,13.37828,3.7396963,0.11825957952306576,1000
36,13.737389,3.8095229,0.12046769058855876,1000
37,14.082689,3.8679388,0.12231496321979507,1000
38,14.44889,3.9322026,0.12434716366372356,1000
39,14.8383255,4.0043483,0.1266286110319749,1000
40,15.222658,4.077725,0.12894898461911608,1000
41,15.590461,4.1728306,0.13195648928066778,1000
42,15.929592,4.2235155,0.13355928746415632,1000
43,16.315483,4.2977376,0.13590639596746704,1000
44,16.699286,4.342668,0.13732722180558954,1000
45,17.068764,4.4054217,0.13931166732593714,1000
46,17.44833,4.467596,0.14127779196464568,1000
47,17.830996,4.5614986,0.14424725252383092,1000
48,18.196735,4.6315207,0.14646154594444488,1000
49,18.598246,4.653772,0.14716518843070292,1000
50,18.991018,4.7075357,0.14886535116788957,1000
