step,mean,ess,count,resample_fraction
1,0.06544251,502.53177,1000,0.001
2,0.13340074,475.5179,1000,0.004
3,0.20000787,455.69153,1000,0.01
4,0.26931423,442.22885,1000,0.006
5,0.31065494,428.1157,1000,0.009
6,0.35943037,415.25125,1000,0.007
7,0.41802835,402.5286,1000,0.009
8,0.50641984,391.5642,1000,0.008
9,0.5726274,379.16833,1000,0.025
10,0.6402308,371.63577,1000,0.03
11,0.7022142,366.8385,1000,0.019
12,0.7731828,358.60278,1000,0.034
13,0.8232258,355.8879,1000,0.03
14,0.87852776,351.49817,1000,0.041
15,0.9448086,349.45892,1000,0.051
16,1.0326304,351.15216,1000,0.044
17,1.1157094,350.52664,1000,0.042
18,1.1887581,349.15546,1000,0.046
19,1.2410368,349.15863,1000,0.06
20,1.3181729,352.1249,1000,0.058
21,1.379549,356.58337,1000,0.054
22,1.4555147,358.96506,1000,0.055
23,1.5107491,361.56934,1000,0.061
24,1.583308,364.48953,1000,0.063
25,1.656168,368.193,1000,0.052
26,1.717351,368.0364,1000,0.064
27,1.8068308,370.76538,1000,0.047
28,1.8906058,370.5538,1000,0.046
29,1.9781631,368.80356,1000,0.058
30,2.05287,371.12717,1000,0.041
31,2.110393,368.81732,1000,0.046
32,2.1882005,367.71906,1000,0.046
33,2.2488916,366.60535,1000,0.047
34,2.3230267,365.69214,1000,0.051
35,2.3698797,367.01663,1000,0.049
36,2.422544,366.90247,1000,0.048
37,2.4757395,366.4325,1000,0.046
38,2.5377321,366.09973,1000,0.051
39,2.603524,366.35593,1000,0.039
40,2.6665676,363.24408,1000,0.049
41,2.7284367,363.5244,1000,0.046
42,2.7756085,362.8892,1000,0.05
43,2.8399212,363.3822,1000,0.04
44,2.9119864,362.42508,1000,0.046
45,2.9779997,362.24982,1000,0.044
46,3.0605416,359.77762,1000,0.063
47,3.1307638,364.49658,1000,0.049
48,3.191201,364.82697,1000,0.051
49,3.256657,365.56662,1000,0.051
50,3.3371205,365.28046,1000,0.044
