epoch,loss,kl_div,log_cond
1,1.2657397985458374,0.219073086977005,-1.0466667413711548
2,1.0504308938980103,0.18257315456867218,-0.867857813835144
3,0.9634596109390259,0.21263186633586884,-0.7508276104927063
4,0.9344226121902466,0.2546044588088989,-0.6798182129859924
5,0.912859320640564,0.2724602222442627,-0.6403990387916565
6,0.9057667851448059,0.2719799876213074,-0.6337867975234985
7,0.8585507273674011,0.23614847660064697,-0.6224021911621094
8,0.8372407555580139,0.20736920833587646,-0.6298714876174927
9,0.8066300749778748,0.20129375159740448,-0.6053362488746643
10,0.7765238285064697,0.21709252893924713,-0.559431254863739
11,0.73207688331604,0.2529866099357605,-0.47909021377563477
12,0.6936262249946594,0.2829289734363556,-0.41069722175598145
13,0.6527782082557678,0.2865997552871704,-0.366178423166275
14,0.6093728542327881,0.2848046123981476,-0.3245682418346405
15,0.5748052000999451,0.27029383182525635,-0.3045113980770111
16,0.5296017527580261,0.2701031565666199,-0.2594985365867615
17,0.4810228943824768,0.2930331826210022,-0.1879897266626358
18,0.44201481342315674,0.33869457244873047,-0.10332021117210388
19,0.40753501653671265,0.37827005982398987,-0.02926492691040039
20,0.3759971559047699,0.40668249130249023,0.03068533167243004
21,0.35224616527557373,0.4181371033191681,0.06589096784591675
22,0.33281442523002625,0.42581236362457275,0.09299793094396591
23,0.3236311972141266,0.45657557249069214,0.13294440507888794
24,0.3211382329463959,0.5060943365097046,0.18495608866214752
25,0.32756859064102173,0.5447268486022949,0.217158243060112
26,0.3330785930156708,0.5619640350341797,0.2288855016231537
27,0.3293466866016388,0.5545943975448608,0.22524771094322205
28,0.3289249837398529,0.5457367300987244,0.21681179106235504
29,0.32085439562797546,0.5324497818946838,0.2115953415632248
30,0.3056924641132355,0.5171177387237549,0.2114252895116806
31,0.29498475790023804,0.5010343790054321,0.2060496211051941
32,0.28530699014663696,0.47562581300735474,0.19031882286071777
33,0.278431236743927,0.446988046169281,0.1685567945241928
34,0.27526745200157166,0.42761531472206116,0.1523478627204895
35,0.27386608719825745,0.4123609960079193,0.13849495351314545
36,0.2736411690711975,0.40273070335388184,0.12908954918384552
37,0.2739335894584656,0.3922576606273651,0.11832404881715775
38,0.2696794271469116,0.3689849078655243,0.09930550307035446
39,0.2730746865272522,0.35927554965019226,0.08620081841945648
40,0.26824089884757996,0.362429678440094,0.09418877959251404
41,0.26272496581077576,0.37583035230636597,0.11310537159442902
42,0.26227760314941406,0.3843306601047516,0.12205306440591812
43,0.2578514814376831,0.3985458016395569,0.14069436490535736
44,0.25426048040390015,0.4047648310661316,0.15050436556339264
45,0.2520129680633545,0.40841057896614075,0.15639759600162506
46,0.25266313552856445,0.41200748085975647,0.15934434533119202
47,0.24901555478572845,0.41231584548950195,0.1633003205060959
48,0.24907545745372772,0.4100949168205261,0.1610194742679596
49,0.2514694035053253,0.41495615243911743,0.16348674893379211
50,0.25188538432121277,0.4147980809211731,0.16291272640228271
51,0.2481277734041214,0.41010451316833496,0.16197675466537476
52,0.2517915964126587,0.4149264991283417,0.16313490271568298
53,0.2497347742319107,0.4097517430782318,0.1600169688463211
54,0.2460152804851532,0.4000726342201233,0.15405738353729248
55,0.24883577227592468,0.3947761654853821,0.1459403932094574
56,0.2459641993045807,0.3958095610141754,0.1498454064130783
57,0.2487814724445343,0.3906434178352356,0.14186197519302368
58,0.24432100355625153,0.3885108232498169,0.14418983459472656
59,0.2450353503227234,0.3943365514278412,0.14930123090744019
60,0.24240781366825104,0.3934386670589447,0.15103086829185486
61,0.24146968126296997,0.3956679105758667,0.15419824421405792
62,0.2435743659734726,0.4047574996948242,0.1611831784248352
63,0.24436640739440918,0.4037877321243286,0.15942132472991943
64,0.2428615391254425,0.40393561124801636,0.16107410192489624
65,0.2398071587085724,0.4105677306652069,0.17076049745082855
66,0.24393534660339355,0.4123649597167969,0.16842959821224213
67,0.24292773008346558,0.4113749563694,0.16844722628593445
68,0.24101309478282928,0.40205541253089905,0.16104231774806976
69,0.2412644326686859,0.4058478772640228,0.1645835041999817
70,0.24274420738220215,0.41362544894218445,0.1708812117576599
71,0.2427566796541214,0.4020760953426361,0.15931947529315948
72,0.23988860845565796,0.4016350209712982,0.16174642741680145
73,0.24073508381843567,0.39711928367614746,0.1563841849565506
74,0.24251163005828857,0.4082062840461731,0.16569463908672333
75,0.2432103455066681,0.4124394357204437,0.16922909021377563
76,0.23864531517028809,0.40724194049835205,0.16859664022922516
77,0.2414168119430542,0.4033118784427643,0.16189506649971008
78,0.23958083987236023,0.4007759392261505,0.16119514405727386
79,0.2394806295633316,0.3948849141597748,0.15540431439876556
80,0.23985198140144348,0.4019928276538849,0.1621408611536026
81,0.24104899168014526,0.4061506390571594,0.16510167717933655
82,0.23923778533935547,0.4010162651538849,0.161778524518013
83,0.23877368867397308,0.402767151594162,0.1639934927225113
84,0.2406333088874817,0.4112354516983032,0.17060218751430511
85,0.2411346435546875,0.4114972949028015,0.1703626662492752
86,0.23858730494976044,0.40329280495643616,0.1647055447101593
87,0.2430092990398407,0.39089107513427734,0.14788183569908142
88,0.24005089700222015,0.3935794532299042,0.1535285860300064
89,0.24057002365589142,0.4045228660106659,0.16395290195941925
90,0.2400623857975006,0.40930405259132385,0.16924168169498444
91,0.24050839245319366,0.4096660017967224,0.16915759444236755
92,0.24060973525047302,0.405968576669693,0.16535890102386475
93,0.2402815818786621,0.40647682547569275,0.16619527339935303
94,0.2405548393726349,0.4136151075363159,0.1730603128671646
95,0.24243031442165375,0.4132557809352875,0.17082548141479492
