step,mean,std,stderr,count,ess
1,1.0133207,1.2872449,0.04070625840912649,1000,1.0
2,2.1708026,2.2611213,0.07150293288668318,1000,1.0
3,2.9750369,3.583844,0.11333109649410365,1000,1.0
4,4.1744742,4.0476713,0.12799860584787093,1000,1.0
5,5.231083,4.2501445,0.1344013694683797,1000,1.0
6,6.229746,4.606663,0.14567548210918366,1000,1.0
7,7.348459,4.9305673,0.15591822712665754,1000,1.0
8,8.333574,5.5243483,0.17469523086337768,1000,1.0
9,9.478445,5.920632,0.1872268194568757,1000,1.0
10,10.508962,6.1938596,0.19586703771132974,1000,1.0
11,11.694941,6.397279,0.2022997178990581,1000,1.0
12,12.821022,6.7872386,0.21463132992276454,1000,1.0
13,13.775412,6.8400836,0.21630243559088255,1000,1.0
14,14.899082,6.9497004,0.21976882179156085,1000,1.0
15,16.088823,7.470094,0.23622512020501135,1000,1.0
16,17.216341,7.7866616,0.24623586103738396,1000,1.0
17,18.383802,7.902853,0.24991015531710659,1000,1.0
18,19.511997,8.073256,0.2552987563562195,1000,1.0
19,20.543575,8.160465,0.25805656926545795,1000,1.0
20,21.716686,8.367229,0.2645950280414149,1000,1.0
21,22.749365,8.467743,0.26777354267717907,1000,1.0
22,23.762897,8.7292385,0.27604275930871414,1000,1.0
23,24.778008,8.969277,0.28363345492626324,1000,1.0
24,25.860281,9.093233,0.28755327917777873,1000,1.0
25,26.77465,9.280235,0.2934668074034083,1000,1.0
26,27.256342,9.289396,0.2937565035170288,1000,1.0
27,27.876894,9.3557825,0.29585582021130735,1000,1.0
28,28.36169,9.382913,0.29671375015512136,1000,1.0
29,29.021791,9.4773245,0.299699314995451,1000,1.0
30,29.749712,9.542447,0.30175867256516703,1000,1.0
31,30.491707,9.590493,0.3032780240334372,1000,1.0
32,31.369917,9.593008,0.303357550230774,1000,1.0
33,31.979048,9.64718,0.30507060544022513,1000,1.0
34,32.63767,9.689407,0.3064059639885287,1000,1.0
35,32.997868,9.962257,0.3150342397423588,1000,1.0
36,33.866043,9.930367,0.31402579206972114,1000,1.0
37,34.62048,9.932211,0.3140840871548376,1000,1.0
38,35.306015,9.957422,0.3148813395449763,1000,1.0
39,35.973194,10.048011,0.31774600164540334,1000,1.0
40,36.63267,10.099032,0.3193594455428319,1000,1.0
41,37.178265,10.221052,0.32321804939973464,1000,1.0
42,37.830242,10.329942,0.3266614402551458,1000,1.0
43,38.55308,10.367105,0.32783663056907103,1000,1.0
44,39.185772,10.393623,0.3286752293439457,1000,1.0
45,39.533543,10.52124,0.3327108295042879,1000,1.0
46,40.303165,10.591059,0.33491868422822707,1000,1.0
47,41.256054,10.837053,0.3426977154932424,1000,1.0
48,42.026833,10.859191,0.3433977691977473,1000,1.0
49,43.002083,10.799142,0.3414988512828783,1000,1.0
50,43.71353,10.867615,0.3436641533088872,1000,1.0
