corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.4664246141910553,
,,0.0072612652676067035,19,,
,0,,19,0.19070687890052795,
,,0.011482300025506945,29,,
,0,,29,0.0595070980489254,
,,0.01724118604844578,39,,
,0,,39,0.018979378044605255,
,,0.024319344538486373,49,,
,0,,49,0.014357274398207664,
0.004580855369567871,0,,53,,0.014383610337972641
,,0.03244812364730308,59,,
,1,,59,0.01837540790438652,
,,0.04131899517009691,69,,
,1,,69,0.012647668831050396,
,,0.050595264748552596,79,,
,1,,79,0.005979983136057854,
,,0.05992485112151644,89,,
,1,,89,0.016660291701555252,
,,0.0689536493863167,99,,
,1,,99,0.008515479974448681,
0.10585403442382812,1,,107,,0.012820699252188206
,,0.07733897106749596,109,,
,2,,109,0.01131778210401535,
,,0.08476255087449538,119,,
,2,,119,0.010103762149810791,
,,0.0909426264761734,129,,
,2,,129,0.01138077862560749,
,,0.09564463280373148,139,,
,2,,139,0.007606371305882931,
,,0.09869010497926176,149,,
,2,,149,0.008297125808894634,
,,0.09996345195883216,159,,
,2,,159,0.008246072567999363,
0.1384897530078888,2,,161,,0.012226367369294167
,,0.09988952235883158,169,,
,3,,169,0.007019896525889635,
,,0.09944154354509119,179,,
,3,,179,0.009542069397866726,
,,0.09865224892001707,189,,
,3,,189,0.007183177396655083,
,,0.09752708733908166,199,,
,3,,199,0.010297316126525402,
,,0.09607382629827801,209,,
,3,,209,0.010411038994789124,
0.36092421412467957,3,,215,,0.012298665009438992
,,0.09430249831160464,219,,
,4,,219,0.004507028963416815,
,,0.09222533165211319,229,,
,4,,229,0.012087455950677395,
,,0.08985666593464468,239,,
,4,,239,0.008010972291231155,
,,0.08721285312302468,249,,
,4,,249,0.0068018329329788685,
,,0.08431214464510911,259,,
,4,,259,0.008074462413787842,
,,0.0811745653949763,269,,
,4,,269,0.010660660453140736,
0.32987022399902344,4,,269,,0.0103992884978652
,,0.07782177549208494,279,,
,5,,279,0.011450004763901234,
,,0.07427692075173617,289,,
,5,,289,0.009222807362675667,
,,0.07056447289910997,299,,
,5,,299,0.005413075443357229,
,,0.06671006062994951,309,,
,5,,309,0.009580069221556187,
,,0.06274029268415816,319,,
,5,,319,0.01069126557558775,
0.29927724599838257,5,,323,,0.011096085421741009
,,0.058682574153711,329,,
,6,,329,0.009228618815541267,
,,0.05456491729299021,339,,
,6,,339,0.004736723378300667,
,,0.05041574813760566,349,,
,6,,349,0.00952704157680273,
,,0.046263710266697504,359,,
,6,,359,0.005863990169018507,
,,0.042137467063438294,369,,
,6,,369,0.0052864765748381615,
0.2196734994649887,6,,377,,0.011255134828388691
,,0.038065503838818716,379,,
,7,,379,0.009512933902442455,
,,0.034075931184745833,389,,
,7,,389,0.006615166086703539,
,,0.03019629091399537,399,,
,7,,399,0.012448870576918125,
,,0.026453365926702055,409,,
,7,,409,0.005899693816900253,
,,0.02287299531596481,419,,
,7,,419,0.008843672461807728,
,,0.01947989598897622,429,,
,7,,429,0.009738055057823658,
0.5231225490570068,7,,431,,0.009152461774647236
,,0.016297492035105336,439,,
,8,,439,0.013923589140176773,
,,0.01334775301888306,449,,
,8,,449,0.0057592145167291164,
,,0.010651042314225891,459,,
,8,,459,0.008155734278261662,
,,0.008225976526915469,469,,
,8,,469,0.01146785356104374,
,,0.006089296975803242,479,,
,8,,479,0.007787604350596666,
0.677324652671814,8,,485,,0.008978164754807949
,,0.004255754119963707,489,,
,9,,489,0.00559069262817502,
,,0.0027380057296470376,499,,
,9,,499,0.007782097905874252,
,,0.0015465295040033534,509,,
,9,,509,0.008561722002923489,
,,0.0006895507388171068,519,,
,9,,519,0.007076213136315346,
,,0.00017298554359429017,529,,
,9,,529,0.010279076173901558,
,,4e-07,539,,
,9,,539,0.011910337023437023,
0.6283756494522095,9,,539,,0.008889003656804562
