step,mean,std,stderr,count,ess
1,7.7275867,5.8508043,0.18501867823355284,1000,1.0
2,38.59481,7.529644,0.2381082504959494,1000,1.0
3,61.247486,20.965717,0.6629941949676071,1000,1.0
4,80.0527,33.982754,1.0746290302620882,1000,1.0
5,92.30522,38.7576,1.2256228909035594,1000,1.0
6,99.82019,45.931107,1.452469122048478,1000,1.0
7,105.19291,48.74322,1.541395997477451,1000,1.0
8,113.54109,50.844185,1.6078342998122759,1000,1.0
9,120.006485,53.03446,1.6770968225976877,1000,1.0
10,127.143745,55.15254,1.7440763976628126,1000,1.0
11,133.07117,57.49976,1.818302054823694,1000,1.0
12,137.48022,59.47818,1.8808651966530237,1000,1.0
13,145.38573,60.977734,1.9282852476911756,1000,1.0
14,150.61987,62.586193,1.9791492022678463,1000,1.0
15,157.95573,64.034935,2.0249624441311385,1000,1.0
16,163.2868,66.02482,2.0878880830753674,1000,1.0
17,163.08607,68.6095,2.169622798608371,1000,1.0
18,167.08995,69.92854,2.2113346962422296,1000,1.0
19,173.78343,71.75986,2.2692459325002297,1000,1.0
20,179.38455,72.78549,2.301679351568509,1000,1.0
21,182.21666,102.526566,3.2421746781811267,1000,1.0
22,186.91339,103.701996,3.279345047900937,1000,1.0
23,191.38106,104.45053,3.3030158079255374,1000,1.0
24,195.80959,105.58036,3.3387441508528353,1000,1.0
25,200.97745,107.59429,3.4024302496347754,1000,1.0
26,205.99167,108.29725,3.4246597066547793,1000,1.0
27,212.02701,109.5843,3.465359748781226,1000,1.0
28,211.92584,110.753235,3.5023248039953603,1000,1.0
29,215.04462,111.85381,3.5371281459652386,1000,1.0
30,217.76883,113.48775,3.588797676493089,1000,1.0
31,215.43369,113.97705,3.604270814574238,1000,1.0
32,220.89745,115.45778,3.6510955500509836,1000,1.0
33,222.85173,118.24089,3.7391052655583006,1000,1.0
34,224.52386,120.69871,3.8168282659322097,1000,1.0
35,227.49437,121.99331,3.8577671580711357,1000,1.0
36,232.1977,123.48088,3.904808306134946,1000,1.0
37,234.8826,124.63873,3.941422806734805,1000,1.0
38,239.62723,125.423195,3.966229672525834,1000,1.0
39,242.70682,127.98204,4.047147472763631,1000,1.0
40,245.39522,129.13043,4.083462807691294,1000,1.0
41,246.97026,129.78133,4.104045888463664,1000,1.0
42,249.43538,130.25331,4.118971360354583,1000,1.0
43,252.0676,131.5382,4.1596028838915915,1000,1.0
44,254.72763,132.31941,4.184307213061102,1000,1.0
45,256.76062,133.35724,4.217126169826292,1000,1.0
46,259.33325,134.22572,4.244590061059172,1000,1.0
47,261.21783,135.04611,4.27053303261663,1000,1.0
48,264.05804,135.30069,4.278583484350371,1000,1.0
49,268.79938,138.85847,4.391090525683049,1000,1.0
50,268.59598,153.063,4.840277166929391,1000,1.0
