step,mean,ess,count,resample_fraction
1,0.7308705,382.81424,1000,0.057
2,1.3883454,255.2056,1000,0.424
3,2.0854995,233.47705,1000,0.592
4,2.79886,251.3164,1000,0.503
5,3.4851484,246.01628,1000,0.51
6,4.1537294,244.2917,1000,0.528
7,4.8444133,242.72186,1000,0.516
8,5.5581613,242.14212,1000,0.525
9,6.2386556,243.5165,1000,0.527
10,6.925775,250.17854,1000,0.501
11,7.610092,239.86046,1000,0.548
12,8.302582,243.67747,1000,0.514
13,8.9906225,245.47745,1000,0.508
14,9.649604,244.11102,1000,0.515
15,10.349725,243.35095,1000,0.515
16,11.054827,244.68811,1000,0.508
17,11.759277,239.08661,1000,0.532
18,12.450235,241.84525,1000,0.52
19,13.118096,239.41336,1000,0.541
20,13.826938,247.57451,1000,0.481
21,14.548379,239.02472,1000,0.536
22,15.292166,244.7259,1000,0.506
23,15.990861,242.25734,1000,0.516
24,16.672718,248.1486,1000,0.488
25,17.376951,241.01974,1000,0.524
26,18.050385,245.3112,1000,0.523
27,18.757147,251.62366,1000,0.484
28,19.479889,244.18042,1000,0.512
29,20.202168,243.83046,1000,0.512
30,20.897923,242.09157,1000,0.522
31,21.611954,248.71785,1000,0.501
32,22.309029,244.07341,1000,0.52
33,22.981865,242.14427,1000,0.528
34,23.685642,247.20747,1000,0.503
35,24.383904,240.7478,1000,0.528
36,25.059175,242.45062,1000,0.516
37,25.729372,238.05267,1000,0.527
38,26.44159,244.61192,1000,0.512
39,27.127834,247.3721,1000,0.519
40,27.812422,242.59398,1000,0.51
41,28.513369,244.9091,1000,0.516
42,29.20139,249.1762,1000,0.499
43,29.896513,242.18362,1000,0.531
44,30.613983,250.09804,1000,0.484
45,31.325924,244.1607,1000,0.523
46,32.04353,251.22047,1000,0.504
47,32.74968,245.02936,1000,0.526
48,33.42632,246.129,1000,0.499
49,34.134323,240.24843,1000,0.531
50,34.82731,243.12114,1000,0.51
