step,mean,ess,count,resample_fraction
1,0.709151,375.80423,1000,0.091
2,1.3647534,285.10065,1000,0.313
3,2.0435967,264.62994,1000,0.422
4,2.7337847,275.1319,1000,0.42
5,3.3885608,277.97354,1000,0.389
6,4.0364194,270.0499,1000,0.412
7,4.698499,266.19366,1000,0.442
8,5.401344,271.96732,1000,0.41
9,6.0557985,273.08508,1000,0.401
10,6.7317295,272.29584,1000,0.403
11,7.403018,270.7437,1000,0.42
12,8.096376,269.39218,1000,0.423
13,8.758439,274.41415,1000,0.403
14,9.405553,268.10464,1000,0.426
15,10.082473,271.44666,1000,0.403
16,10.759751,267.297,1000,0.43
17,11.449271,268.81976,1000,0.438
18,12.123487,274.06418,1000,0.405
19,12.770903,268.28906,1000,0.425
20,13.456764,273.357,1000,0.394
21,14.163221,260.44522,1000,0.46
22,14.877083,273.06726,1000,0.425
23,15.556099,273.6191,1000,0.396
24,16.222471,271.64178,1000,0.411
25,16.899446,270.015,1000,0.432
26,17.556713,272.83337,1000,0.397
27,18.239412,270.3914,1000,0.42
28,18.94264,270.05414,1000,0.428
29,19.656633,276.67227,1000,0.395
30,20.347166,271.84576,1000,0.412
31,21.03457,269.84497,1000,0.418
32,21.708866,270.63373,1000,0.425
33,22.374043,270.53238,1000,0.429
34,23.050224,270.94577,1000,0.4
35,23.72482,271.61212,1000,0.417
36,24.382847,268.53494,1000,0.431
37,25.018322,266.44598,1000,0.413
38,25.701607,272.71686,1000,0.415
39,26.373398,269.35538,1000,0.436
40,27.057137,269.11612,1000,0.425
41,27.730293,270.84058,1000,0.404
42,28.389706,267.17352,1000,0.43
43,29.07334,273.93,1000,0.397
44,29.765387,272.71176,1000,0.411
45,30.443907,269.73325,1000,0.411
46,31.133215,269.59796,1000,0.417
47,31.821953,267.51083,1000,0.423
48,32.475483,270.4848,1000,0.41
49,33.17453,268.69748,1000,0.419
50,33.852104,269.61545,1000,0.413
