step,mean,std,stderr,count
1,0.9243316,0.7490166,0.023685984074085654,1000
2,1.7999352,1.0289835,0.03253931451809901,1000
3,2.6654434,1.2286536,0.038853436737196226,1000
4,3.5633817,1.3863397,0.043839909503247454,1000
5,4.419235,1.6124735,0.05099088888254505,1000
6,5.2805653,1.722099,0.0544575502734208,1000
7,6.1595917,1.8465562,0.05839323377371307,1000
8,7.0978165,1.9429836,0.061442537187448604,1000
9,7.954006,2.0857491,0.06595717939617773,1000
10,8.829974,2.199471,0.06955337997548185,1000
11,9.70529,2.3047848,0.07288369404783869,1000
12,10.609424,2.440934,0.07718910877246717,1000
13,11.474231,2.509162,0.0793466677756599,1000
14,12.343053,2.6317356,0.08322278579225292,1000
15,13.252708,2.6908967,0.08509362676752363,1000
16,14.151583,2.769834,0.08758984312111213,1000
17,15.057326,2.8902,0.0913961457615828,1000
18,15.940281,2.9157917,0.09220543112583507,1000
19,16.791973,2.955084,0.09344796387383424,1000
20,17.68024,3.0398133,0.09612733626761075,1000
21,18.607786,3.0985558,0.09798493795557357,1000
22,19.52212,3.1793203,0.10053893671117092,1000
23,20.403507,3.2431304,0.10255678956754424,1000
24,21.284916,3.2878087,0.10396963865966917,1000
25,22.159359,3.3652008,0.10641699178942947,1000
26,23.02333,3.4675906,0.10965484195544022,1000
27,23.910742,3.51197,0.11105824410736197,1000
28,24.811125,3.5795836,0.11319637392866837,1000
29,25.697956,3.670306,0.11606526566473302,1000
30,26.619183,3.755708,0.11876591440747468,1000
31,27.500988,3.777652,0.11945984607251828,1000
32,28.398552,3.845172,0.12159501288704107,1000
33,29.27753,3.9353147,0.12444557620200923,1000
34,30.173426,3.9586437,0.1251833045754648,1000
35,31.040155,3.970274,0.1255510868500464,1000
36,31.91795,4.064093,0.128517908599119,1000
37,32.77313,4.1139936,0.13009590196754894,1000
38,33.638115,4.1924887,0.1325781326275406,1000
39,34.524914,4.266233,0.1349101320580922,1000
40,35.408752,4.3207855,0.1366352353205718,1000
41,36.283554,4.4101043,0.13945974227054225,1000
42,37.147663,4.446301,0.1406043827028208,1000
43,38.058502,4.530965,0.143281689285252,1000
44,38.95578,4.585485,0.14500576718151642,1000
45,39.849728,4.639879,0.14672586424423953,1000
46,40.72349,4.7174773,0.14917973146524927,1000
47,41.603397,4.7771134,0.1510655910397895,1000
48,42.470543,4.85394,0.15349506057644371,1000
49,43.386246,4.8627806,0.1537746236592318,1000
50,44.27683,4.9477043,0.15646014825029944,1000
