epoch,lr-Adam,step,train_loss,val_loss
,0.00400461481818476,9,,
0,,9,0.45463186502456665,
,0.004020566136879497,19,,
0,,19,0.390807181596756,
,0.004047907143416157,29,,
0,,29,0.33641308546066284,
,0.0040866313473986865,39,,
0,,39,0.2867773473262787,
,0.00413672955620932,49,,
0,,49,0.2472657859325409,
,0.004198189877190853,59,,
0,,59,0.2015114426612854,
,0.0042709977204697935,69,,
0,,69,0.17099793255329132,
,0.004355135802419807,79,,
0,,79,0.14203855395317078,
,0.004450584149764569,89,,
0,,89,0.12062472850084305,
,0.004557320104319237,99,,
0,,99,0.10467244684696198,
,0.004675318328369191,109,,
0,,109,0.08317383378744125,
,0.004804550810684816,119,,
0,,119,0.06994084268808365,
,0.004944986873171062,129,,
0,,129,0.06442804634571075,
0,,135,,0.05826792120933533
,0.005096593178150005,139,,
1,,139,0.05021898075938225,
,0.005259333736274754,149,,
1,,149,0.061872608959674835,
,0.00543316991507288,159,,
1,,159,0.0367412306368351,
,0.005618060448117218,169,,
1,,169,0.03176208958029747,
,0.005813961444822047,179,,
1,,179,0.02757295034825802,
,0.006020826400862017,189,,
1,,189,0.031146474182605743,
,0.006238606209211822,199,,
1,,199,0.026550661772489548,
,0.006467249171803427,209,,
1,,209,0.02625284530222416,
,0.0067067010117985715,219,,
1,,219,0.04639405384659767,
,0.0069569048864733946,229,,
1,,229,0.020611409097909927,
,0.007217801400712126,239,,
1,,239,0.013225813396275043,
,0.007489328621106656,249,,
1,,249,0.042473480105400085,
,0.007771422090658869,259,,
1,,259,0.021215016022324562,
,0.008064014844081688,269,,
1,,269,0.030722426250576973,
1,,271,,0.016879387199878693
,0.008367037423695906,279,,
2,,279,0.022010713815689087,
,0.008680417895918474,289,,
2,,289,0.010914046317338943,
,0.009004081868338579,299,,
2,,299,0.007919032126665115,
,0.009337952507377428,309,,
2,,309,0.028799714520573616,
,0.009681950556527583,319,,
2,,319,0.008639310486614704,
,0.010035994355167305,329,,
2,,329,0.01059649046510458,
,0.010399999857945846,339,,
2,,339,0.005491821561008692,
,0.010773880654734627,349,,
2,,349,0.0053724986501038074,
,0.011157547991139868,359,,
2,,359,0.009733282029628754,
,0.011550910789571767,369,,
2,,369,0.00580018013715744,
,0.011953875670865102,379,,
2,,379,0.03219684213399887,
,0.01236634697644616,389,,
2,,389,0.040163554251194,
,0.012788226791040955,399,,
2,,399,0.005238748155534267,
2,,407,,0.01195215992629528
,0.013219414965918885,409,,
3,,409,0.003946774639189243,
,0.013659809142666818,419,,
3,,419,0.004643124993890524,
,0.014109304777487647,429,,
3,,429,0.00810988899320364,
,0.014567795166017528,439,,
3,,439,0.0034655998460948467,
,0.015035171468656156,449,,
3,,449,0.022166937589645386,
,0.015511322736403904,459,,
3,,459,0.03519495204091072,
,0.015996135937199507,469,,
3,,469,0.004590044263750315,
,0.016489495982752594,479,,
3,,479,0.0032245719339698553,
,0.01699128575586395,489,,
3,,489,0.003715044818818569,
,0.01750138613822773,499,,
3,,499,0.0026709192898124456,
,0.018019676038708507,509,,
3,,509,0.0126102976500988,
,0.01854603242208676,519,,
3,,519,0.0041558085940778255,
,0.01908033033826577,529,,
3,,529,0.03359959274530411,
,0.01962244295193326,539,,
3,,539,0.03961927071213722,
3,,543,,0.010521779768168926
,0.02017224157267021,549,,
4,,549,0.005110458470880985,
,0.020729595685500535,559,,
4,,559,0.01849224790930748,
,0.021294372981873394,569,,
4,,569,0.0019329203059896827,
,0.02186643939107165,579,,
4,,579,0.006314209662377834,
,0.022445659112038496,589,,
4,,589,0.006574122700840235,
,0.023031894645614726,599,,
4,,599,0.02283148653805256,
,0.023625006827179343,609,,
4,,609,0.011577880010008812,
,0.024224854859685382,619,,
4,,619,0.005097787361592054,
,0.024831296347083254,629,,
4,,629,0.002740106312558055,
,0.02544418732812377,639,,
4,,639,0.005835652817040682,
,0.026063382310532554,649,,
4,,649,0.014142779633402824,
,0.02668873430554805,659,,
4,,659,0.0043501113541424274,
,0.027320094862814767,669,,
4,,669,0.0012816954404115677,
,0.027957314105623354,679,,
4,,679,0.04061106964945793,
4,,679,,0.011900472454726696
,0.02860024076648944,689,,
5,,689,0.004414956085383892,
,0.029248722223062518,699,,
5,,699,0.001603752258233726,
,0.02990260453435646,709,,
5,,709,0.012052771635353565,
,0.03056173247729317,719,,
5,,719,0.031352099031209946,
,0.03122594958355039,729,,
5,,729,0.0042795888148248196,
,0.03189509817670534,739,,
5,,739,0.0020462877582758665,
,0.032569019409664945,749,,
5,,749,0.00331104570068419,
,0.03324755330237411,759,,
5,,759,0.0018309456063434482,
,0.03393053877979285,769,,
5,,769,0.0020822256337851286,
,0.034617813710133366,779,,
5,,779,0.0024951451923698187,
,0.0353092149433481,789,,
5,,789,0.013950611464679241,
,0.03600457834985929,799,,
5,,799,0.005797536578029394,
,0.03670373885952129,809,,
5,,809,0.007368185091763735,
5,,815,,0.013087295927107334
,0.03740653050080599,819,,
6,,819,0.02920606918632984,
,0.03811278644020224,829,,
6,,829,0.004560943227261305,
,0.03882233902182009,839,,
6,,839,0.03436813876032829,
,0.03953501980718992,849,,
6,,849,0.010279166512191296,
,0.04025065961524762,859,,
6,,859,0.0015906819608062506,
,0.040969088562495926,869,,
6,,869,0.01335427537560463,
,0.041690136103332553,879,,
6,,879,0.0017234780825674534,
,0.04241363107053547,889,,
6,,889,0.02484431117773056,
,0.04313940171589573,899,,
6,,899,0.0012418784899637103,
,0.04386727575098828,909,,
6,,909,0.0013537498889490962,
,0.044597080388070955,919,,
6,,919,0.02022111788392067,
,0.04532864238110199,929,,
6,,929,0.013880986720323563,
,0.04606178806686642,939,,
6,,939,0.0010717300465330482,
,0.0467963434062014,949,,
6,,949,0.005654020234942436,
6,,951,,0.008771393448114395
,0.04753213402531082,959,,
7,,959,0.003184738801792264,
,0.048268985257159364,969,,
7,,969,0.024425096809864044,
,0.049006722182936176,979,,
7,,979,0.0022052922286093235,
,0.0497451696735783,989,,
7,,989,0.002956966171041131,
,0.05048415243134399,999,,
7,,999,0.0020869062282145023,
,0.05122349503142614,1009,,
7,,1009,0.0010937366168946028,
,0.05196302196359574,1019,,
7,,1019,0.0018537103896960616,
,0.052702557673865835,1029,,
7,,1029,0.001894011627882719,
,0.053441926606165625,1039,,
7,,1039,0.02609015814960003,
,0.054180953244015215,1049,,
7,,1049,0.020944586023688316,
,0.054919462152190915,1059,,
7,,1059,0.008839569054543972,
,0.05565727801837128,1069,,
7,,1069,0.0037119092885404825,
,0.056394225694753906,1079,,
7,,1079,0.006041224580258131,
7,,1087,,0.01040650438517332
,0.0571301302396333,1089,,
8,,1089,0.0015516789862886071,
,0.057864816958929664,1099,,
8,,1099,0.006361653096973896,
,0.058598111447659,1109,,
8,,1109,0.0015565501525998116,
,0.05932983963133461,1119,,
8,,1119,0.005829045083373785,
,0.06005982780729003,1129,,
8,,1129,0.0035169320181012154,
,0.06078790268591379,1139,,
8,,1139,0.007793778087943792,
,0.061513891431786094,1149,,
8,,1149,0.004824470728635788,
,0.062237621704707695,1159,,
8,,1159,0.00966798048466444,
,0.06295892170061115,1169,,
8,,1169,0.0013647861778736115,
,0.06367762019234492,1179,,
8,,1179,0.02497215010225773,
,0.0643935465703204,1189,,
8,,1189,0.009621133096516132,
,0.06510653088301235,1199,,
8,,1199,0.03008844330906868,
,0.06581640387730332,1209,,
8,,1209,0.016215315088629723,
,0.06652299703866191,1219,,
8,,1219,0.024455681443214417,
8,,1223,,0.009088227525353432
,0.06722614263114607,1229,,
9,,1229,0.003406648524105549,
,0.0679256737372213,1239,,
9,,1239,0.003921745344996452,
,0.0686214242973848,1249,,
9,,1249,0.007968411780893803,
,0.06931322914958565,1259,,
9,,1259,0.002388115506619215,
,0.07000092406843231,1269,,
9,,1269,0.019188225269317627,
,0.07068434580417741,1279,,
9,,1279,0.002005455084145069,
,0.0713633321214712,1289,,
9,,1289,0.021846819669008255,
,0.07203772183787399,1299,,
9,,1299,0.002787643810734153,
,0.0727073548621189,1309,,
9,,1309,0.0016276489477604628,
,0.07337207223211528,1319,,
9,,1319,0.03672138229012489,
,0.07403171615268428,1329,,
9,,1329,0.0009647287661209702,
,0.07468613003301733,1339,,
9,,1339,0.022315366193652153,
,0.0753351585238488,1349,,
9,,1349,0.03369483724236488,
,0.07597864755433385,1359,,
9,,1359,0.002607395639643073,
9,,1359,,0.012184079736471176
,0.07661644436862279,1369,,
10,,1369,0.0022791235242038965,
,0.07724839756212336,1379,,
10,,1379,0.030637159943580627,
,0.07787435711744213,1389,,
10,,1389,0.015455358661711216,
,0.07849417443999679,1399,,
10,,1399,0.005197693593800068,
,0.07910770239329037,1409,,
10,,1409,0.012769626453518867,
,0.0797147953338397,1419,,
10,,1419,0.014147135429084301,
,0.08031530914574911,1429,,
10,,1429,0.03645999729633331,
,0.08090910127492174,1439,,
10,,1439,0.024780472740530968,
,0.08149603076289999,1449,,
10,,1449,0.003602732438594103,
,0.08207595828032718,1459,,
10,,1459,0.011301062069833279,
,0.08264874616002256,1469,,
10,,1469,0.0036779518704861403,
,0.08321425842966165,1479,,
10,,1479,0.029958633705973625,
,0.08377236084405429,1489,,
10,,1489,0.024778900668025017,
10,,1495,,0.00927742850035429
,0.08432292091701274,1499,,
11,,1499,0.02621162310242653,
,0.08486580795280207,1509,,
11,,1509,0.0019910491537302732,
,0.08540089307716571,1519,,
11,,1519,0.0005128408665768802,
,0.08592804926791839,1529,,
11,,1529,0.01035764254629612,
,0.08644715138509969,1539,,
11,,1539,0.029231898486614227,
,0.08695807620068047,1549,,
11,,1549,0.0006042070453986526,
,0.0874607024278157,1559,,
11,,1559,0.0201126579195261,
,0.08795491074963631,1569,,
11,,1569,0.004466166254132986,
,0.08844058384757345,1579,,
11,,1579,0.008702523075044155,
,0.08891760642920843,1589,,
11,,1589,0.0015883117448538542,
,0.08938586525564153,1599,,
11,,1599,0.008314071223139763,
,0.08984524916837354,1609,,
11,,1609,0.0208065677434206,
,0.09029564911569324,1619,,
11,,1619,0.001424464862793684,
,0.09073695817856489,1629,,
11,,1629,0.012762448750436306,
11,,1631,,0.01019820012152195
,0.09116907159600941,1639,,
12,,1639,0.055630676448345184,
,0.09159188678997321,1649,,
12,,1649,0.022362999618053436,
,0.09200530338967895,1659,,
12,,1659,0.03445716202259064,
,0.09240922325545217,1669,,
12,,1669,0.001890158629976213,
,0.09280355050201841,1679,,
12,,1679,0.005978872999548912,
,0.09318819152126513,1689,,
12,,1689,0.003367773024365306,
,0.09356305500446295,1699,,
12,,1699,0.012133966200053692,
,0.09392805196394129,1709,,
12,,1709,0.02972155436873436,
,0.09428309575421273,1719,,
12,,1719,0.0033207647502422333,
,0.09462810209254165,1729,,
12,,1729,0.0009559150785207748,
,0.09496298907895169,1739,,
12,,1739,0.012631352059543133,
,0.09528767721566789,1749,,
12,,1749,0.02279840223491192,
,0.09560208942598829,1759,,
12,,1759,0.024881528690457344,
12,,1767,,0.009719708934426308
,0.095906151072581,1769,,
13,,1769,0.0029833733569830656,
,0.09619978997520211,1779,,
13,,1779,0.0011262628249824047,
,0.0964829364278303,1789,,
13,,1789,0.014290896244347095,
,0.09675552321521419,1799,,
13,,1799,0.0013899453915655613,
,0.0970174856288283,1809,,
13,,1809,0.0018544999184086919,
,0.09726876148223404,1819,,
13,,1819,0.018979936838150024,
,0.09750929112584196,1829,,
13,,1829,0.0034684231504797935,
,0.09773901746107175,1839,,
13,,1839,0.01848050206899643,
,0.0979578859539067,1849,,
13,,1849,0.006192001514136791,
,0.09816584464783941,1859,,
13,,1859,0.0009321560501120985,
,0.09836284417620549,1869,,
13,,1869,0.0012255316833034158,
,0.09854883777390265,1879,,
13,,1879,0.009719101712107658,
,0.09872378128849206,1889,,
13,,1889,0.0269842017441988,
,0.0988876331906796,1899,,
13,,1899,0.0010607382282614708,
13,,1903,,0.010872293263673782
,0.09904035458417433,1909,,
14,,1909,0.0015763170085847378,
,0.099181909214922,1919,,
14,,1919,0.004308224190026522,
