epoch,loss,kl_div,log_cond
1,3.210531234741211,0.2161262035369873,-2.9944040775299072
2,2.811746120452881,0.17431162297725677,-2.637434959411621
3,2.555163621902466,0.19547039270401,-2.3596935272216797
4,2.385219097137451,0.24835368990898132,-2.1368649005889893
5,2.227182626724243,0.3099963068962097,-1.9171862602233887
6,2.146488666534424,0.3859162926673889,-1.7605723142623901
7,1.9539391994476318,0.4350702166557312,-1.5188685655593872
8,1.785187005996704,0.47332626581192017,-1.3118607997894287
9,1.596185564994812,0.49304425716400146,-1.1031413078308105
10,1.4416706562042236,0.5293519496917725,-0.9123186469078064
11,1.250065803527832,0.6109763979911804,-0.6390895843505859
12,1.0899615287780762,0.7074350714683533,-0.38252630829811096
13,0.9741228222846985,0.7708834409713745,-0.20323927700519562
14,0.8785449266433716,0.8020206093788147,-0.07652414590120316
15,0.8038819432258606,0.7777923345565796,-0.026089536026120186
16,0.7546799778938293,0.7709734439849854,0.016293538734316826
17,0.7144191861152649,0.7851603627204895,0.07074115425348282
18,0.6953059434890747,0.8142098188400269,0.1189039796590805
19,0.6825693845748901,0.8281134963035583,0.14554399251937866
20,0.6855840682983398,0.8294144868850708,0.14383044838905334
21,0.6842601895332336,0.8081383109092712,0.12387846410274506
22,0.6829253435134888,0.7714897394180298,0.08856453001499176
23,0.6675514578819275,0.7483556866645813,0.08080445230007172
24,0.6615983247756958,0.7460200786590576,0.08442185074090958
25,0.6494353413581848,0.7405349612236023,0.09109972417354584
26,0.6479468941688538,0.7344309687614441,0.08648398518562317
27,0.6334689855575562,0.7230335474014282,0.08956453949213028
28,0.6301506757736206,0.7182429432868958,0.08809230476617813
29,0.626139223575592,0.7066317796707153,0.0804925188422203
30,0.608418881893158,0.7019587159156799,0.09353990852832794
31,0.6061652302742004,0.7009024024009705,0.0947372168302536
32,0.6050115823745728,0.705427348613739,0.10041578859090805
33,0.5968380570411682,0.7032697200775146,0.10643169283866882
34,0.5938475131988525,0.7094785571098328,0.11563102155923843
35,0.5867443084716797,0.7129488587379456,0.1262046992778778
36,0.5860589742660522,0.7155042290687561,0.12944522500038147
37,0.5790103077888489,0.717354953289032,0.13834480941295624
38,0.5714672207832336,0.7034673094749451,0.1320001482963562
39,0.573614239692688,0.6956484913825989,0.12203436344861984
40,0.5685257911682129,0.6886330246925354,0.12010733038187027
41,0.5640382170677185,0.6873693466186523,0.12333104014396667
42,0.5607313513755798,0.6853818297386169,0.12465042620897293
43,0.5626488924026489,0.6957402229309082,0.1330912560224533
44,0.5583207607269287,0.703117847442627,0.14479702711105347
45,0.5547391176223755,0.7082951664924622,0.15355579555034637
46,0.5549681186676025,0.708557665348053,0.1535896211862564
47,0.5495436191558838,0.7003440260887146,0.15080024302005768
48,0.5485048294067383,0.6908986568450928,0.1423938125371933
49,0.5526743531227112,0.6933392286300659,0.1406649649143219
50,0.5518437623977661,0.6895741820335388,0.13773034512996674
51,0.5440687537193298,0.6853294968605042,0.1412610113620758
52,0.549993097782135,0.6873926520347595,0.13739965856075287
53,0.5485277771949768,0.6891671419143677,0.14063957333564758
54,0.5452641248703003,0.6858552694320679,0.14059136807918549
55,0.5454520583152771,0.6921587586402893,0.14670656621456146
56,0.5449032187461853,0.7007721662521362,0.15586896240711212
57,0.5433511734008789,0.6955265998840332,0.15217557549476624
58,0.5428018569946289,0.6902235746383667,0.14742162823677063
59,0.5420698523521423,0.6908642649650574,0.14879436790943146
60,0.5377865433692932,0.6821021437644958,0.14431560039520264
61,0.5353180766105652,0.679574728012085,0.14425677061080933
62,0.5386573672294617,0.6862077116966248,0.14755044877529144
63,0.539966881275177,0.6830836534500122,0.14311692118644714
64,0.536799967288971,0.6814921498298645,0.14469221234321594
65,0.5358580946922302,0.6926410794258118,0.15678320825099945
66,0.5384478569030762,0.6975761651992798,0.159128338098526
67,0.5385035872459412,0.6998031139373779,0.1612996906042099
68,0.5332754254341125,0.6920143365859985,0.1587388813495636
69,0.536149799823761,0.6916662454605103,0.15551653504371643
70,0.5346006751060486,0.6911647319793701,0.15656407177448273
71,0.5369065999984741,0.6789376139640808,0.14203119277954102
72,0.5343368649482727,0.6818106174468994,0.1474737972021103
73,0.5339004993438721,0.6777077913284302,0.14380721747875214
74,0.5363943576812744,0.6875731348991394,0.15117865800857544
75,0.5365294814109802,0.695975661277771,0.15944638848304749
76,0.5300025343894958,0.6995071768760681,0.1695048063993454
77,0.5330379605293274,0.6991029381752014,0.16606491804122925
78,0.5306532979011536,0.6941118836402893,0.16345855593681335
79,0.5324289798736572,0.6754564642906189,0.14302746951580048
80,0.5330427289009094,0.6737293601036072,0.1406865268945694
81,0.5350300669670105,0.6767131090164185,0.14168305695056915
82,0.5308824181556702,0.674868643283844,0.14398610591888428
83,0.5275892615318298,0.6799078583717346,0.15231868624687195
84,0.5319743156433105,0.6908342838287354,0.15885980427265167
85,0.5327630043029785,0.6972525119781494,0.16448944807052612
86,0.5280684232711792,0.6973943710327148,0.16932594776153564
87,0.5353885293006897,0.6892525553703308,0.1538640707731247
88,0.5298398733139038,0.6831899881362915,0.1533500701189041
89,0.5294955968856812,0.6801589131355286,0.1506633758544922
90,0.5312341451644897,0.6732986569404602,0.14206436276435852
91,0.529359757900238,0.6779327392578125,0.14857298135757446
92,0.530821681022644,0.6835981011390686,0.1527765989303589
93,0.5292849540710449,0.6889899969100952,0.15970498323440552
94,0.5318247675895691,0.6939907670021057,0.16216596961021423
95,0.5321429967880249,0.697519063949585,0.16537588834762573
96,0.5298712253570557,0.6866441965103149,0.15677297115325928
