step,mean,ess,count,resample_fraction
1,0.020855786,509.69937,1000,0.0
2,0.04159595,502.53156,1000,0.0
3,0.061132558,496.54388,1000,0.0
4,0.08199302,491.79837,1000,0.0
5,0.087390825,486.2176,1000,0.0
6,0.09740906,480.62872,1000,0.0
7,0.1121712,475.19226,1000,0.0
8,0.1403245,470.57922,1000,0.0
9,0.15779212,465.12558,1000,0.0
10,0.17819944,459.33447,1000,0.0
11,0.19661307,453.98956,1000,0.0
12,0.21877311,449.0559,1000,0.001
13,0.22653064,444.9417,1000,0.0
14,0.23804516,439.9903,1000,0.0
15,0.25595173,435.05292,1000,0.0
16,0.2834346,430.05768,1000,0.0
17,0.3093916,425.13596,1000,0.001
18,0.3324618,420.5481,1000,0.0
19,0.34371534,415.89087,1000,0.001
20,0.3690301,411.27832,1000,0.001
21,0.3839388,407.526,1000,0.002
22,0.40706855,403.81433,1000,0.0
23,0.42203876,399.4373,1000,0.002
24,0.44716555,395.31915,1000,0.0
25,0.46849337,390.95428,1000,0.002
26,0.4856114,387.025,1000,0.001
27,0.51877946,382.69476,1000,0.001
28,0.5468745,378.74435,1000,0.0
29,0.57773733,374.76355,1000,0.001
30,0.6031549,371.29587,1000,0.002
31,0.6176259,367.46585,1000,0.003
32,0.6430335,364.04346,1000,0.005
33,0.6594072,360.97296,1000,0.004
34,0.6835562,358.05975,1000,0.006
35,0.6920237,355.64078,1000,0.001
36,0.70198303,351.81357,1000,0.005
37,0.7129698,349.1767,1000,0.006
38,0.7281925,347.0867,1000,0.008
39,0.74606717,345.328,1000,0.006
40,0.763252,343.16193,1000,0.009
41,0.7793227,342.07666,1000,0.007
42,0.7854129,340.02625,1000,0.004
43,0.80088246,337.14392,1000,0.011
44,0.8235538,336.57272,1000,0.012
45,0.84482414,336.0549,1000,0.017
46,0.8742133,336.0672,1000,0.016
47,0.89486456,336.50296,1000,0.015
48,0.90943044,336.61096,1000,0.016
49,0.9278299,337.56854,1000,0.01
50,0.95649153,336.32135,1000,0.015
