step,mean,std,stderr,count,ess
1,4.8980618,3.9614582,0.12527230787083463,1000,1.0
2,10.019443,5.8339934,0.1844870710877225,1000,1.0
3,14.511806,8.609394,0.2722529454617186,1000,1.0
4,19.303154,9.084301,0.2872708209433242,1000,1.0
5,23.986034,9.637707,0.30477104771624086,1000,1.0
6,28.761469,10.079168,0.3187312881047097,1000,1.0
7,33.449947,11.778953,0.37248318662645813,1000,1.0
8,38.216652,11.948835,0.37785535164829814,1000,1.0
9,42.946377,12.3192425,0.38956865276533115,1000,1.0
10,47.470894,12.923254,0.40866917462185814,1000,1.0
11,52.20618,13.225951,0.418241299976769,1000,1.0
12,57.070717,13.689983,0.4329152857244984,1000,1.0
13,61.41112,15.123819,0.4782571607071026,1000,1.0
14,66.1668,16.116703,0.5096548995823824,1000,1.0
15,70.95992,17.122696,0.5414671879868969,1000,1.0
16,75.75824,17.22705,0.544767178361331,1000,1.0
17,80.47982,18.504457,0.5851623248279088,1000,1.0
18,85.69719,20.188738,0.6384239475096479,1000,1.0
19,90.36426,20.426628,0.6459466975365259,1000,1.0
20,95.21705,21.31301,0.6739765306045303,1000,1.0
21,99.89642,21.350111,0.6751497908173445,1000,1.0
22,104.75465,21.599226,0.6830274985016568,1000,1.0
23,109.61566,22.161264,0.7008007139504524,1000,1.0
24,114.68964,22.694704,0.717669556397452,1000,1.0
25,119.626526,23.483852,0.7426246177644054,1000,1.0
26,122.459816,23.8344,0.7537099122324654,1000,1.0
27,124.7352,24.26739,0.7674022304604715,1000,1.0
28,128.08348,24.777668,0.783538659851528,1000,1.0
29,130.88539,25.23785,0.7980908984401188,1000,1.0
30,133.70726,25.657187,0.8113514771758709,1000,1.0
31,136.49089,26.469707,0.8370456466369959,1000,1.0
32,139.69116,26.753147,0.8460087949335745,1000,1.0
33,143.16708,26.83347,0.848548807995575,1000,1.0
34,146.32558,27.121855,0.8576683547977997,1000,1.0
35,149.45544,27.439608,0.8677165818126863,1000,1.0
36,152.43175,27.756084,0.8777244576512224,1000,1.0
37,155.50983,27.841515,0.8804259960499449,1000,1.0
38,157.92036,27.946804,0.8837555410976403,1000,1.0
39,160.54945,28.2399,0.8930240675793659,1000,1.0
40,163.5265,28.72732,0.9084376137887148,1000,1.0
41,166.32124,29.143385,0.9215947511680522,1000,1.0
42,169.24997,29.283285,0.9260187841769716,1000,1.0
43,172.26375,29.53358,0.9339338272546487,1000,1.0
44,175.3355,30.03782,0.9498792972670413,1000,1.0
45,178.67572,30.37251,0.9604631273402147,1000,1.0
46,181.52751,30.519419,0.965108760082934,1000,1.0
47,184.40369,30.704319,0.9709558204515556,1000,1.0
48,187.54132,30.851128,0.9755983167799697,1000,1.0
49,190.24054,31.200603,0.9866497138472688,1000,1.0
50,192.60512,31.399958,0.9929538462852254,1000,1.0
