epoch,loss,num_batches,batch_size
1,15.809520721435547,32,32
2,-6.249886989593506,32,32
3,-7.450626373291016,32,32
4,-7.667430400848389,32,32
5,-7.882905960083008,32,32
6,-8.023687362670898,32,32
7,-8.05186939239502,32,32
8,-8.150418281555176,32,32
9,-8.235589981079102,32,32
10,-8.401911735534668,32,32
11,-8.476371765136719,32,32
12,-8.61266803741455,32,32
13,-8.50356388092041,32,32
14,-8.638483047485352,32,32
15,-8.636119842529297,32,32
16,-8.730173110961914,32,32
17,-8.737104415893555,32,32
18,-8.806536674499512,32,32
19,-8.788241386413574,32,32
20,-8.901599884033203,32,32
21,-8.861794471740723,32,32
22,-8.912802696228027,32,32
23,-9.015691757202148,32,32
24,-9.07651138305664,32,32
25,-9.123236656188965,32,32
26,-9.010286331176758,32,32
27,-9.112367630004883,32,32
28,-9.072080612182617,32,32
29,-9.208680152893066,32,32
30,-9.063633918762207,32,32
31,-9.291642189025879,32,32
32,-9.27867317199707,32,32
33,-9.370190620422363,32,32
34,-9.325267791748047,32,32
35,-9.329343795776367,32,32
36,-9.343173027038574,32,32
37,-9.4020414352417,32,32
38,-9.38473892211914,32,32
39,-9.504780769348145,32,32
40,-9.339859008789062,32,32
41,-9.506691932678223,32,32
42,-9.38123893737793,32,32
43,-9.522693634033203,32,32
44,-9.473090171813965,32,32
45,-9.561641693115234,32,32
46,-9.593195915222168,32,32
47,-9.549391746520996,32,32
48,-9.567866325378418,32,32
49,-9.617290496826172,32,32
50,-9.431137084960938,32,32
51,-9.637834548950195,32,32
52,-9.494980812072754,32,32
53,-9.582061767578125,32,32
54,-9.572084426879883,32,32
55,-9.64818000793457,32,32
56,-9.579370498657227,32,32
57,-9.60889720916748,32,32
58,-9.645929336547852,32,32
59,-9.67025375366211,32,32
60,-9.608626365661621,32,32
61,-9.603830337524414,32,32
62,-9.649428367614746,32,32
63,-9.714151382446289,32,32
64,-9.635406494140625,32,32
65,-9.679228782653809,32,32
66,-9.589912414550781,32,32
67,-9.495920181274414,32,32
68,-9.695584297180176,32,32
69,-9.665668487548828,32,32
70,-9.67700481414795,32,32
71,-9.601667404174805,32,32
72,-9.611385345458984,32,32
73,-9.62796688079834,32,32
74,-9.552667617797852,32,32
75,-9.594640731811523,32,32
76,-9.575478553771973,32,32
77,-9.691179275512695,32,32
78,-9.725423812866211,32,32
79,-9.67201042175293,32,32
80,-9.64098072052002,32,32
81,-9.769659996032715,32,32
82,-9.710134506225586,32,32
83,-9.647400856018066,32,32
84,-9.637777328491211,32,32
85,-9.704161643981934,32,32
86,-9.684752464294434,32,32
87,-9.646456718444824,32,32
88,-9.677735328674316,32,32
89,-9.670843124389648,32,32
90,-9.747594833374023,32,32
91,-9.473706245422363,32,32
92,-9.669271469116211,32,32
93,-9.71144962310791,32,32
94,-9.765390396118164,32,32
95,-9.734299659729004,32,32
96,-9.701041221618652,32,32
97,-9.672468185424805,32,32
98,-9.622917175292969,32,32
99,-9.594930648803711,32,32
100,-9.72118091583252,32,32
