corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.4926440417766571,
,,0.0072612652676067035,19,,
,0,,19,0.18462246656417847,
,,0.011482300025506945,29,,
,0,,29,0.056861769407987595,
,,0.01724118604844578,39,,
,0,,39,0.022073231637477875,
,,0.024319344538486373,49,,
,0,,49,0.02339034527540207,
-0.007751104421913624,0,,53,,0.022988975048065186
,,0.03244812364730308,59,,
,1,,59,0.022853698581457138,
,,0.04131899517009691,69,,
,1,,69,0.02213577926158905,
,,0.050595264748552596,79,,
,1,,79,0.014148226007819176,
,,0.05992485112151644,89,,
,1,,89,0.021493205800652504,
,,0.0689536493863167,99,,
,1,,99,0.017470983788371086,
0.07076331228017807,1,,107,,0.02326149307191372
,,0.07733897106749596,109,,
,2,,109,0.015142302960157394,
,,0.08476255087449538,119,,
,2,,119,0.018115121871232986,
,,0.0909426264761734,129,,
,2,,129,0.019384441897273064,
,,0.09564463280373148,139,,
,2,,139,0.01922125369310379,
,,0.09869010497926176,149,,
,2,,149,0.020142050459980965,
,,0.09996345195883216,159,,
,2,,159,0.01999511569738388,
0.04734106361865997,2,,161,,0.020634450018405914
,,0.09988952235883158,169,,
,3,,169,0.018013814464211464,
,,0.09944154354509119,179,,
,3,,179,0.015632756054401398,
,,0.09865224892001707,189,,
,3,,189,0.020558470860123634,
,,0.09752708733908166,199,,
,3,,199,0.019521476700901985,
,,0.09607382629827801,209,,
,3,,209,0.01686875894665718,
0.1691412627696991,3,,215,,0.02017565257847309
,,0.09430249831160464,219,,
,4,,219,0.014022445306181908,
,,0.09222533165211319,229,,
,4,,229,0.01756931096315384,
,,0.08985666593464468,239,,
,4,,239,0.017177026718854904,
,,0.08721285312302468,249,,
,4,,249,0.019991695880889893,
,,0.08431214464510911,259,,
,4,,259,0.014008261263370514,
,,0.0811745653949763,269,,
,4,,269,0.02616748958826065,
0.13139791786670685,4,,269,,0.020264139398932457
,,0.07782177549208494,279,,
,5,,279,0.0250625591725111,
,,0.07427692075173617,289,,
,5,,289,0.022396063432097435,
,,0.07056447289910997,299,,
,5,,299,0.019727768376469612,
,,0.06671006062994951,309,,
,5,,309,0.02043880522251129,
,,0.06274029268415816,319,,
,5,,319,0.016793137416243553,
0.04056541621685028,5,,323,,0.02035810984671116
,,0.058682574153711,329,,
,6,,329,0.01630069874227047,
,,0.05456491729299021,339,,
,6,,339,0.016261231154203415,
,,0.05041574813760566,349,,
,6,,349,0.01847919076681137,
,,0.046263710266697504,359,,
,6,,359,0.014412721619009972,
,,0.042137467063438294,369,,
,6,,369,0.014352343045175076,
0.06039968132972717,6,,377,,0.018996618688106537
,,0.038065503838818716,379,,
,7,,379,0.019763020798563957,
,,0.034075931184745833,389,,
,7,,389,0.016257334500551224,
,,0.03019629091399537,399,,
,7,,399,0.013584055937826633,
,,0.026453365926702055,409,,
,7,,409,0.016157645732164383,
,,0.02287299531596481,419,,
,7,,419,0.014242572709918022,
,,0.01947989598897622,429,,
,7,,429,0.021595552563667297,
0.17242637276649475,7,,431,,0.01865493506193161
,,0.016297492035105336,439,,
,8,,439,0.014075815677642822,
,,0.01334775301888306,449,,
,8,,449,0.021442914381623268,
,,0.010651042314225891,459,,
,8,,459,0.023911302909255028,
,,0.008225976526915469,469,,
,8,,469,0.01854357309639454,
,,0.006089296975803242,479,,
,8,,479,0.019757119938731194,
0.14448264241218567,8,,485,,0.018673958256840706
,,0.004255754119963707,489,,
,9,,489,0.014367174357175827,
,,0.0027380057296470376,499,,
,9,,499,0.01522811409085989,
,,0.0015465295040033534,509,,
,9,,509,0.013803246431052685,
,,0.0006895507388171068,519,,
,9,,519,0.010610172525048256,
,,0.00017298554359429017,529,,
,9,,529,0.02419089525938034,
,,4e-07,539,,
,9,,539,0.01695583388209343,
0.21543386578559875,9,,539,,0.018502673134207726
