epoch,loss,num_batches,batch_size
1,12.915702819824219,32,32
2,-6.275650501251221,32,32
3,-7.4616169929504395,32,32
4,-7.678284168243408,32,32
5,-7.8649821281433105,32,32
6,-8.008936882019043,32,32
7,-8.027446746826172,32,32
8,-8.154589653015137,32,32
9,-8.246859550476074,32,32
10,-8.414868354797363,32,32
11,-8.491966247558594,32,32
12,-8.618002891540527,32,32
13,-8.4993257522583,32,32
14,-8.658980369567871,32,32
15,-8.654617309570312,32,32
16,-8.743149757385254,32,32
17,-8.757316589355469,32,32
18,-8.82018756866455,32,32
19,-8.805279731750488,32,32
20,-8.926054000854492,32,32
21,-8.888561248779297,32,32
22,-8.928987503051758,32,32
23,-9.024552345275879,32,32
24,-9.083762168884277,32,32
25,-9.142308235168457,32,32
26,-9.038311958312988,32,32
27,-9.122518539428711,32,32
28,-9.092178344726562,32,32
29,-9.213769912719727,32,32
30,-9.08718204498291,32,32
31,-9.302528381347656,32,32
32,-9.287744522094727,32,32
33,-9.372180938720703,32,32
34,-9.328523635864258,32,32
35,-9.338118553161621,32,32
36,-9.350584983825684,32,32
37,-9.382926940917969,32,32
38,-9.38827896118164,32,32
39,-9.496039390563965,32,32
40,-9.335715293884277,32,32
41,-9.502016067504883,32,32
42,-9.384675025939941,32,32
43,-9.51925277709961,32,32
44,-9.459775924682617,32,32
45,-9.562790870666504,32,32
46,-9.578869819641113,32,32
47,-9.53682804107666,32,32
48,-9.555330276489258,32,32
49,-9.622742652893066,32,32
50,-9.431588172912598,32,32
51,-9.643723487854004,32,32
52,-9.496597290039062,32,32
53,-9.587732315063477,32,32
54,-9.583541870117188,32,32
55,-9.651254653930664,32,32
56,-9.566446304321289,32,32
57,-9.617131233215332,32,32
58,-9.644206047058105,32,32
59,-9.668163299560547,32,32
60,-9.57849407196045,32,32
61,-9.586572647094727,32,32
62,-9.650062561035156,32,32
63,-9.713595390319824,32,32
64,-9.646358489990234,32,32
65,-9.675328254699707,32,32
66,-9.598984718322754,32,32
67,-9.466967582702637,32,32
68,-9.678008079528809,32,32
69,-9.66821575164795,32,32
70,-9.672988891601562,32,32
71,-9.598788261413574,32,32
72,-9.595430374145508,32,32
73,-9.621581077575684,32,32
74,-9.549400329589844,32,32
75,-9.588349342346191,32,32
76,-9.558746337890625,32,32
77,-9.675509452819824,32,32
78,-9.719358444213867,32,32
79,-9.673361778259277,32,32
80,-9.658987045288086,32,32
81,-9.764975547790527,32,32
82,-9.69662857055664,32,32
83,-9.648336410522461,32,32
84,-9.631355285644531,32,32
85,-9.699280738830566,32,32
86,-9.681954383850098,32,32
87,-9.64516830444336,32,32
88,-9.667579650878906,32,32
89,-9.669779777526855,32,32
90,-9.740829467773438,32,32
91,-9.459278106689453,32,32
92,-9.660938262939453,32,32
93,-9.70791244506836,32,32
94,-9.76980972290039,32,32
95,-9.730062484741211,32,32
96,-9.712362289428711,32,32
97,-9.67215347290039,32,32
98,-9.625831604003906,32,32
99,-9.602978706359863,32,32
100,-9.706635475158691,32,32
