step,mean,ess,count,resample_fraction
1,0.11870434,503.14368,1000,0.001
2,0.24275446,469.18274,1000,0.009
3,0.36528528,444.81256,1000,0.009
4,0.4884227,425.2012,1000,0.01
5,0.5799612,406.18805,1000,0.022
6,0.678296,391.57153,1000,0.023
7,0.79095834,377.5682,1000,0.028
8,0.9448406,366.93045,1000,0.035
9,1.0665449,357.6267,1000,0.048
10,1.1898755,351.25174,1000,0.048
11,1.3062432,346.12836,1000,0.066
12,1.4369944,345.21832,1000,0.071
13,1.5360543,347.93674,1000,0.06
14,1.6441069,346.77002,1000,0.08
15,1.7662905,351.1557,1000,0.08
16,1.9129518,354.59845,1000,0.088
17,2.0589008,359.50696,1000,0.084
18,2.191935,362.89566,1000,0.093
19,2.293504,369.1087,1000,0.072
20,2.4272244,368.71756,1000,0.074
21,2.5498922,371.20215,1000,0.059
22,2.683462,368.62204,1000,0.064
23,2.7912707,367.92908,1000,0.054
24,2.919187,363.40555,1000,0.068
25,3.0516334,362.43552,1000,0.048
26,3.16487,356.43182,1000,0.066
27,3.3145926,355.0813,1000,0.074
28,3.4590793,356.58038,1000,0.081
29,3.6071758,359.39264,1000,0.068
30,3.7389112,359.31516,1000,0.082
31,3.85093,363.5038,1000,0.074
32,3.9856205,363.80475,1000,0.084
33,4.101997,367.57248,1000,0.058
34,4.2308035,363.99765,1000,0.072
35,4.326128,365.7414,1000,0.053
36,4.4308295,362.15326,1000,0.066
37,4.533417,361.71252,1000,0.066
38,4.6493726,361.04358,1000,0.072
39,4.7722573,359.9178,1000,0.066
40,4.892428,358.32056,1000,0.068
41,5.006594,358.5929,1000,0.072
42,5.099612,360.28772,1000,0.067
43,5.2179513,359.79443,1000,0.076
44,5.3483114,362.30118,1000,0.067
45,5.4664545,362.62094,1000,0.064
46,5.603248,359.85657,1000,0.081
47,5.7285843,364.2592,1000,0.06
48,5.8418026,362.81003,1000,0.074
49,5.966748,365.23795,1000,0.063
50,6.105523,362.37534,1000,0.074
