step,mean,ess,count,resample_fraction
1,0.6992331,307.92935,1000,0.183
2,1.3585879,180.97305,1000,0.847
3,2.0481138,210.16579,1000,0.642
4,2.7503743,187.34537,1000,0.761
5,3.436213,197.71396,1000,0.731
6,4.099288,198.32364,1000,0.73
7,4.7921934,190.37393,1000,0.763
8,5.461007,197.23747,1000,0.7
9,6.1304264,193.88936,1000,0.731
10,6.797399,198.45224,1000,0.735
11,7.4603148,191.40523,1000,0.758
12,8.120581,194.19089,1000,0.721
13,8.795204,194.02711,1000,0.729
14,9.44808,195.9953,1000,0.72
15,10.124626,194.01979,1000,0.748
16,10.813143,194.56041,1000,0.73
17,11.494022,192.59259,1000,0.737
18,12.173583,192.6559,1000,0.72
19,12.823503,190.96162,1000,0.753
20,13.507811,198.74109,1000,0.72
21,14.2041,193.91664,1000,0.737
22,14.916254,198.06013,1000,0.712
23,15.593949,191.64174,1000,0.741
24,16.257849,192.41,1000,0.74
25,16.942202,194.32697,1000,0.717
26,17.610062,193.23512,1000,0.749
27,18.29471,201.75954,1000,0.72
28,18.990026,193.78609,1000,0.763
29,19.693588,196.62498,1000,0.722
30,20.357054,195.61325,1000,0.712
31,21.052423,195.53577,1000,0.742
32,21.734838,196.13167,1000,0.714
33,22.405725,192.43301,1000,0.746
34,23.119303,198.16435,1000,0.718
35,23.802576,190.12439,1000,0.753
36,24.470062,195.4648,1000,0.734
37,25.139122,192.73401,1000,0.736
38,25.82314,192.77794,1000,0.731
39,26.478575,196.47137,1000,0.718
40,27.136848,194.49643,1000,0.733
41,27.81648,193.10983,1000,0.732
42,28.49634,196.11835,1000,0.748
43,29.191248,195.23491,1000,0.708
44,29.886425,197.57123,1000,0.74
45,30.57914,194.48726,1000,0.733
46,31.281193,195.57098,1000,0.731
47,31.977652,193.4342,1000,0.738
48,32.641895,195.96626,1000,0.737
49,33.307003,195.00412,1000,0.724
50,33.97948,193.32588,1000,0.761
