epoch,lr-Adam,step,train_loss,val_loss
,0.00400461481818476,9,,
0,,9,0.8357440233230591,
,0.004020566136879497,19,,
0,,19,0.7151522636413574,
,0.004047907143416157,29,,
0,,29,0.6133695840835571,
,0.0040866313473986865,39,,
0,,39,0.5235235095024109,
,0.00413672955620932,49,,
0,,49,0.4458051323890686,
,0.004198189877190853,59,,
0,,59,0.3771016597747803,
,0.0042709977204697935,69,,
0,,69,0.31919023394584656,
,0.004355135802419807,79,,
0,,79,0.26858267188072205,
,0.004450584149764569,89,,
0,,89,0.23024332523345947,
,0.004557320104319237,99,,
0,,99,0.1934039145708084,
,0.004675318328369191,109,,
0,,109,0.16610519587993622,
,0.004804550810684816,119,,
0,,119,0.14062856137752533,
,0.004944986873171062,129,,
0,,129,0.11870580166578293,
0,,135,,0.1039288341999054
,0.005096593178150005,139,,
1,,139,0.10215908288955688,
,0.005259333736274754,149,,
1,,149,0.09123799204826355,
,0.00543316991507288,159,,
1,,159,0.07489290088415146,
,0.005618060448117218,169,,
1,,169,0.06992610543966293,
,0.005813961444822047,179,,
1,,179,0.062444884330034256,
,0.006020826400862017,189,,
1,,189,0.052137311547994614,
,0.006238606209211822,199,,
1,,199,0.04899008944630623,
,0.006467249171803427,209,,
1,,209,0.04783179610967636,
,0.0067067010117985715,219,,
1,,219,0.03789294883608818,
,0.0069569048864733946,229,,
1,,229,0.03788008168339729,
,0.007217801400712126,239,,
1,,239,0.038539495319128036,
,0.007489328621106656,249,,
1,,249,0.04200318455696106,
,0.007771422090658869,259,,
1,,259,0.03799658641219139,
,0.008064014844081688,269,,
1,,269,0.025815168395638466,
1,,271,,0.02827218547463417
,0.008367037423695906,279,,
2,,279,0.02387705259025097,
,0.008680417895918474,289,,
2,,289,0.03389899432659149,
,0.009004081868338579,299,,
2,,299,0.018317731097340584,
,0.009337952507377428,309,,
2,,309,0.026934631168842316,
,0.009681950556527583,319,,
2,,319,0.017891764640808105,
,0.010035994355167305,329,,
2,,329,0.03072749450802803,
,0.010399999857945846,339,,
2,,339,0.020368702709674835,
,0.010773880654734627,349,,
2,,349,0.015788676217198372,
,0.011157547991139868,359,,
2,,359,0.036645762622356415,
,0.011550910789571767,369,,
2,,369,0.014450527727603912,
,0.011953875670865102,379,,
2,,379,0.020186282694339752,
,0.01236634697644616,389,,
2,,389,0.026844540610909462,
,0.012788226791040955,399,,
2,,399,0.02574184350669384,
2,,407,,0.019687911495566368
,0.013219414965918885,409,,
3,,409,0.012932175770401955,
,0.013659809142666818,419,,
3,,419,0.020267551764845848,
,0.014109304777487647,429,,
3,,429,0.014550887048244476,
,0.014567795166017528,439,,
3,,439,0.013990212231874466,
,0.015035171468656156,449,,
3,,449,0.021197577938437462,
,0.015511322736403904,459,,
3,,459,0.007686993572860956,
,0.015996135937199507,469,,
3,,469,0.023817293345928192,
,0.016489495982752594,479,,
3,,479,0.0374048687517643,
,0.01699128575586395,489,,
3,,489,0.02360192872583866,
,0.01750138613822773,499,,
3,,499,0.01727038063108921,
,0.018019676038708507,509,,
3,,509,0.01646224968135357,
,0.01854603242208676,519,,
3,,519,0.023952092975378036,
,0.01908033033826577,529,,
3,,529,0.01941867172718048,
,0.01962244295193326,539,,
3,,539,0.02239447832107544,
3,,543,,0.020682677626609802
,0.02017224157267021,549,,
4,,549,0.021624960005283356,
,0.020729595685500535,559,,
4,,559,0.008933287113904953,
,0.021294372981873394,569,,
4,,569,0.033337969332933426,
,0.02186643939107165,579,,
4,,579,0.013119827024638653,
,0.022445659112038496,589,,
4,,589,0.02184927463531494,
,0.023031894645614726,599,,
4,,599,0.022882098332047462,
,0.023625006827179343,609,,
4,,609,0.026724956929683685,
,0.024224854859685382,619,,
4,,619,0.010393231175839901,
,0.024831296347083254,629,,
4,,629,0.010510255582630634,
,0.02544418732812377,639,,
4,,639,0.01735762320458889,
,0.026063382310532554,649,,
4,,649,0.014435112476348877,
,0.02668873430554805,659,,
4,,659,0.02044631727039814,
,0.027320094862814767,669,,
4,,669,0.017665838822722435,
,0.027957314105623354,679,,
4,,679,0.012713556177914143,
4,,679,,0.01993253268301487
,0.02860024076648944,689,,
5,,689,0.012605330906808376,
,0.029248722223062518,699,,
5,,699,0.004931763745844364,
,0.02990260453435646,709,,
5,,709,0.012161819264292717,
,0.03056173247729317,719,,
5,,719,0.02839389629662037,
,0.03122594958355039,729,,
5,,729,0.005254332907497883,
,0.03189509817670534,739,,
5,,739,0.017001990228891373,
,0.032569019409664945,749,,
5,,749,0.024008868262171745,
,0.03324755330237411,759,,
5,,759,0.018674567341804504,
,0.03393053877979285,769,,
5,,769,0.023371854797005653,
,0.034617813710133366,779,,
5,,779,0.015149855986237526,
,0.0353092149433481,789,,
5,,789,0.00913653802126646,
,0.03600457834985929,799,,
5,,799,0.019010169431567192,
,0.03670373885952129,809,,
5,,809,0.011320725083351135,
5,,815,,0.019854409620165825
,0.03740653050080599,819,,
6,,819,0.010004620999097824,
,0.03811278644020224,829,,
6,,829,0.012471236288547516,
,0.03882233902182009,839,,
6,,839,0.03171583265066147,
,0.03953501980718992,849,,
6,,849,0.014135417528450489,
,0.04025065961524762,859,,
6,,859,0.012644398957490921,
,0.040969088562495926,869,,
6,,869,0.056287817656993866,
,0.041690136103332553,879,,
6,,879,0.01432199776172638,
,0.04241363107053547,889,,
6,,889,0.01823868788778782,
,0.04313940171589573,899,,
6,,899,0.024255482479929924,
,0.04386727575098828,909,,
6,,909,0.016617070883512497,
,0.044597080388070955,919,,
6,,919,0.02549525536596775,
,0.04532864238110199,929,,
6,,929,0.03281325846910477,
,0.04606178806686642,939,,
6,,939,0.014769808389246464,
,0.0467963434062014,949,,
6,,949,0.02026926539838314,
6,,951,,0.019659781828522682
,0.04753213402531082,959,,
7,,959,0.021954327821731567,
,0.048268985257159364,969,,
7,,969,0.016982432454824448,
,0.049006722182936176,979,,
7,,979,0.02272883802652359,
,0.0497451696735783,989,,
7,,989,0.019723979756236076,
,0.05048415243134399,999,,
7,,999,0.03538452088832855,
,0.05122349503142614,1009,,
7,,1009,0.015334195457398891,
,0.05196302196359574,1019,,
7,,1019,0.03352976590394974,
,0.052702557673865835,1029,,
7,,1029,0.00894962064921856,
,0.053441926606165625,1039,,
7,,1039,0.019950278103351593,
,0.054180953244015215,1049,,
7,,1049,0.02574431523680687,
,0.054919462152190915,1059,,
7,,1059,0.019611580297350883,
,0.05565727801837128,1069,,
7,,1069,0.015675777569413185,
,0.056394225694753906,1079,,
7,,1079,0.020840222015976906,
7,,1087,,0.019596509635448456
,0.0571301302396333,1089,,
8,,1089,0.022266438230872154,
,0.057864816958929664,1099,,
8,,1099,0.018709957599639893,
,0.058598111447659,1109,,
8,,1109,0.022030293941497803,
,0.05932983963133461,1119,,
8,,1119,0.01007658801972866,
,0.06005982780729003,1129,,
8,,1129,0.03074464201927185,
,0.06078790268591379,1139,,
8,,1139,0.013888015411794186,
,0.061513891431786094,1149,,
8,,1149,0.019224926829338074,
,0.062237621704707695,1159,,
8,,1159,0.021976502612233162,
,0.06295892170061115,1169,,
8,,1169,0.009682322852313519,
,0.06367762019234492,1179,,
8,,1179,0.01721314713358879,
,0.0643935465703204,1189,,
8,,1189,0.018239712342619896,
,0.06510653088301235,1199,,
8,,1199,0.011606981046497822,
,0.06581640387730332,1209,,
8,,1209,0.051911406219005585,
,0.06652299703866191,1219,,
8,,1219,0.01503610610961914,
8,,1223,,0.020506517961621284
,0.06722614263114607,1229,,
9,,1229,0.009335726499557495,
,0.0679256737372213,1239,,
9,,1239,0.009050306864082813,
,0.0686214242973848,1249,,
9,,1249,0.014552317559719086,
,0.06931322914958565,1259,,
9,,1259,0.024349525570869446,
,0.07000092406843231,1269,,
9,,1269,0.04934655502438545,
,0.07068434580417741,1279,,
9,,1279,0.017398791387677193,
,0.0713633321214712,1289,,
9,,1289,0.021766820922493935,
,0.07203772183787399,1299,,
9,,1299,0.03903362527489662,
,0.0727073548621189,1309,,
9,,1309,0.0339735746383667,
,0.07337207223211528,1319,,
9,,1319,0.015238864347338676,
,0.07403171615268428,1329,,
9,,1329,0.02685348503291607,
,0.07468613003301733,1339,,
9,,1339,0.023046236485242844,
,0.0753351585238488,1349,,
9,,1349,0.006423457525670528,
,0.07597864755433385,1359,,
9,,1359,0.013293134979903698,
9,,1359,,0.02118203043937683
,0.07661644436862279,1369,,
10,,1369,0.006462153047323227,
,0.07724839756212336,1379,,
10,,1379,0.020191049203276634,
,0.07787435711744213,1389,,
10,,1389,0.014327765442430973,
,0.07849417443999679,1399,,
10,,1399,0.03149331733584404,
,0.07910770239329037,1409,,
10,,1409,0.022226277738809586,
,0.0797147953338397,1419,,
10,,1419,0.014177987352013588,
,0.08031530914574911,1429,,
10,,1429,0.017470644786953926,
,0.08090910127492174,1439,,
10,,1439,0.020573480054736137,
,0.08149603076289999,1449,,
10,,1449,0.017728039994835854,
,0.08207595828032718,1459,,
10,,1459,0.02016831748187542,
,0.08264874616002256,1469,,
10,,1469,0.024947015568614006,
,0.08321425842966165,1479,,
10,,1479,0.01405704952776432,
,0.08377236084405429,1489,,
10,,1489,0.006850194651633501,
10,,1495,,0.020638467743992805
,0.08432292091701274,1499,,
11,,1499,0.00786969531327486,
,0.08486580795280207,1509,,
11,,1509,0.009329925291240215,
,0.08540089307716571,1519,,
11,,1519,0.04089450463652611,
,0.08592804926791839,1529,,
11,,1529,0.011521339416503906,
,0.08644715138509969,1539,,
11,,1539,0.014753983356058598,
,0.08695807620068047,1549,,
11,,1549,0.04050488397479057,
,0.0874607024278157,1559,,
11,,1559,0.005995137616991997,
,0.08795491074963631,1569,,
11,,1569,0.014370855875313282,
,0.08844058384757345,1579,,
11,,1579,0.010167068801820278,
,0.08891760642920843,1589,,
11,,1589,0.020205266773700714,
,0.08938586525564153,1599,,
11,,1599,0.02344575896859169,
,0.08984524916837354,1609,,
11,,1609,0.020204825326800346,
,0.09029564911569324,1619,,
11,,1619,0.016649387776851654,
,0.09073695817856489,1629,,
11,,1629,0.0154096819460392,
11,,1631,,0.019742457196116447
,0.09116907159600941,1639,,
12,,1639,0.020298980176448822,
,0.09159188678997321,1649,,
12,,1649,0.024100029841065407,
,0.09200530338967895,1659,,
12,,1659,0.005216620862483978,
,0.09240922325545217,1669,,
12,,1669,0.03127617761492729,
,0.09280355050201841,1679,,
12,,1679,0.014842836186289787,
,0.09318819152126513,1689,,
12,,1689,0.01561676524579525,
,0.09356305500446295,1699,,
12,,1699,0.013140406459569931,
,0.09392805196394129,1709,,
12,,1709,0.02196635864675045,
,0.09428309575421273,1719,,
12,,1719,0.01250387728214264,
,0.09462810209254165,1729,,
12,,1729,0.014236017130315304,
,0.09496298907895169,1739,,
12,,1739,0.019716138020157814,
,0.09528767721566789,1749,,
12,,1749,0.019015928730368614,
,0.09560208942598829,1759,,
12,,1759,0.01634790748357773,
12,,1767,,0.02041654661297798
,0.095906151072581,1769,,
13,,1769,0.010223006829619408,
,0.09619978997520211,1779,,
13,,1779,0.012818386778235435,
,0.0964829364278303,1789,,
13,,1789,0.015290596522390842,
,0.09675552321521419,1799,,
13,,1799,0.01459652092307806,
,0.0970174856288283,1809,,
13,,1809,0.011218124069273472,
,0.09726876148223404,1819,,
13,,1819,0.011560220271348953,
,0.09750929112584196,1829,,
13,,1829,0.010862798430025578,
,0.09773901746107175,1839,,
13,,1839,0.018338235095143318,
,0.0979578859539067,1849,,
13,,1849,0.01516796462237835,
,0.09816584464783941,1859,,
13,,1859,0.04116349294781685,
,0.09836284417620549,1869,,
13,,1869,0.014817791990935802,
,0.09854883777390265,1879,,
13,,1879,0.007865607738494873,
,0.09872378128849206,1889,,
13,,1889,0.018461398780345917,
,0.0988876331906796,1899,,
13,,1899,0.020273709669709206,
13,,1903,,0.019484486430883408
,0.09904035458417433,1909,,
14,,1909,0.017251085489988327,
,0.099181909214922,1919,,
14,,1919,0.01530034001916647,
,0.09931226347971124,1929,,
14,,1929,0.009082327596843243,
,0.09943138643415056,1939,,
14,,1939,0.03876016288995743,
,0.09953924980001416,1949,,
14,,1949,0.011134265922009945,
,0.09963582797195472,1959,,
14,,1959,0.00923313107341528,
,0.09972109802358188,1969,,
14,,1969,0.008311685174703598,
,0.0997950397129046,1979,,
