corr,epoch,lr-Adam,step,train_loss,val_loss
,,0.004738291353430291,9,,
,0,,9,0.2814435660839081,
,,0.0072612652676067035,19,,
,0,,19,0.09410763531923294,
,,0.011482300025506945,29,,
,0,,29,0.021676667034626007,
,,0.01724118604844578,39,,
,0,,39,0.005230437498539686,
,,0.024319344538486373,49,,
,0,,49,0.006503916811197996,
0.013134571723639965,0,,53,,0.0031378313433378935
,,0.03244812364730308,59,,
,1,,59,0.004071043338626623,
,,0.04131899517009691,69,,
,1,,69,0.002120777266100049,
,,0.050595264748552596,79,,
,1,,79,0.0014366593677550554,
,,0.05992485112151644,89,,
,1,,89,0.00030855220393277705,
,,0.0689536493863167,99,,
,1,,99,0.005715568084269762,
0.028740080073475838,1,,107,,0.002976782852783799
,,0.07733897106749596,109,,
,2,,109,0.0022842385806143284,
,,0.08476255087449538,119,,
,2,,119,0.0032436454202979803,
,,0.0909426264761734,129,,
,2,,129,0.00295151025056839,
,,0.09564463280373148,139,,
,2,,139,0.0025018304586410522,
,,0.09869010497926176,149,,
,2,,149,0.0029152582865208387,
,,0.09996345195883216,159,,
,2,,159,0.003141924738883972,
0.05741497874259949,2,,161,,0.0031103536020964384
,,0.09988952235883158,169,,
,3,,169,0.0017910560127347708,
,,0.09944154354509119,179,,
,3,,179,0.002051013521850109,
,,0.09865224892001707,189,,
,3,,189,0.0025515269953757524,
,,0.09752708733908166,199,,
,3,,199,0.0009871843503788114,
,,0.09607382629827801,209,,
,3,,209,0.002098526107147336,
0.08381666243076324,3,,215,,0.0032281330786645412
,,0.09430249831160464,219,,
,4,,219,0.005083249881863594,
,,0.09222533165211319,229,,
,4,,229,0.006011561490595341,
,,0.08985666593464468,239,,
,4,,239,0.0020598149858415127,
,,0.08721285312302468,249,,
,4,,249,0.005274138413369656,
,,0.08431214464510911,259,,
,4,,259,0.005000467412173748,
,,0.0811745653949763,269,,
,4,,269,0.002511402126401663,
0.16066725552082062,4,,269,,0.002962566679343581
,,0.07782177549208494,279,,
,5,,279,0.0024723841343075037,
,,0.07427692075173617,289,,
,5,,289,0.004652685020118952,
,,0.07056447289910997,299,,
,5,,299,0.004319057334214449,
,,0.06671006062994951,309,,
,5,,309,0.005832710303366184,
,,0.06274029268415816,319,,
,5,,319,0.005073921754956245,
0.21041245758533478,5,,323,,0.0028491222765296698
,,0.058682574153711,329,,
,6,,329,0.0034954834263771772,
,,0.05456491729299021,339,,
,6,,339,0.0022212595213204622,
,,0.05041574813760566,349,,
,6,,349,0.00885512214154005,
,,0.046263710266697504,359,,
,6,,359,0.002974476432427764,
,,0.042137467063438294,369,,
,6,,369,0.004021744709461927,
0.07060059159994125,6,,377,,0.0029299911111593246
,,0.038065503838818716,379,,
,7,,379,0.005270849447697401,
,,0.034075931184745833,389,,
,7,,389,0.00525120971724391,
,,0.03019629091399537,399,,
,7,,399,0.00198029400780797,
,,0.026453365926702055,409,,
,7,,409,0.006972320377826691,
,,0.02287299531596481,419,,
,7,,419,0.0027118041180074215,
,,0.01947989598897622,429,,
,7,,429,0.0015279240906238556,
0.08630627393722534,7,,431,,0.0028350003995001316
,,0.016297492035105336,439,,
,8,,439,0.0036298632621765137,
,,0.01334775301888306,449,,
,8,,449,0.0046160281635820866,
,,0.010651042314225891,459,,
,8,,459,0.0031559541821479797,
,,0.008225976526915469,469,,
,8,,469,0.00340183824300766,
,,0.006089296975803242,479,,
,8,,479,0.003597941715270281,
0.1511535495519638,8,,485,,0.0027374131605029106
,,0.004255754119963707,489,,
,9,,489,0.0038454325404018164,
,,0.0027380057296470376,499,,
,9,,499,0.0016408693045377731,
,,0.0015465295040033534,509,,
,9,,509,0.0011567112524062395,
,,0.0006895507388171068,519,,
,9,,519,0.003155757440254092,
,,0.00017298554359429017,529,,
,9,,529,0.00408764835447073,
,,4e-07,539,,
,9,,539,0.0005595121765509248,
0.16529139876365662,9,,539,,0.0027237283065915108
